step_pair,phase,cycle,L_xmin,L_xmax,R_xmin,R_xmax,ratio_target,ratio_avg,converged,L_plastic_thick_max_m,L_plastic_nzone,L_contour_ngp,R_plastic_thick_max_m,R_plastic_nzone,R_contour_ngp,rock_crown_2608_z,rock_wallL_2608_y,rock_wallR_2608_y,rock_crown_2896_z,rock_wallL_2896_y,rock_wallR_2896_y
22,conv_1e-5,2000,2607.0,2607.0,2901.0,2901.0,1e-05,1.7831161566392732e-06,1,1.6029486718059547,59,92,3.966220212970764,160,92,-0.019915790074935272,0.022311792753336616,-0.019274804320038898,-0.00614344307743469,0.0021327575176985536,-0.007053845501456828
23,cycle,50,2609.0,2609.0,2899.0,2899.0,1e-05,5.776776680449602e-06,,,,,,,,-0.020065646141160954,0.02279187673778053,-0.019802741633019223,-0.005976890968696835,0.0022815860226952467,-0.007137406707592067
23,cycle,100,2609.0,2609.0,2899.0,2899.0,1e-05,7.642444469530175e-06,,,,,,,,-0.02043136214781349,0.023384172582459603,-0.02024331522582271,-0.007284001354608025,0.0038308132677899154,-0.008813033229763212
23,cycle,200,2609.0,2609.0,2899.0,2899.0,1e-05,9.645683546157075e-06,,,,,,,,-0.02111816225655078,0.023686803128104103,-0.02048817061955186,-0.010015529281981777,0.006119475336245329,-0.0119158505084676
23,cycle,300,2609.0,2609.0,2899.0,2899.0,1e-05,9.722843494909088e-06,,,,,,,,-0.02139574851135611,0.02390052028196457,-0.020598192955382847,-0.012408316703952803,0.006710220740644521,-0.01291681127991995
23,cycle,400,2609.0,2609.0,2899.0,2899.0,1e-05,8.872434717262973e-06,,,,,,,,-0.021739837555363517,0.024138333034386616,-0.02074734289703158,-0.012896580215951355,0.007207170533502857,-0.014147395599249924
23,cycle,500,2609.0,2609.0,2899.0,2899.0,1e-05,7.672170159689731e-06,,,,,,,,-0.022205627858242715,0.02450578336936135,-0.02098118586203114,-0.012785683825671813,0.007173788747747857,-0.014122390361476174
23,cycle,1000,2609.0,2609.0,2899.0,2899.0,1e-05,3.4084836409045588e-06,,,,,,,,-0.024093415369985778,0.025661813825517795,-0.021645337496199554,-0.01276082090466919,0.007147467120950162,-0.014362046027482917
23,conv_1e-5,3000,2609.0,2609.0,2899.0,2899.0,1e-05,1.1037046862212977e-06,1,1.6029486718059547,59,92,3.966220212970764,160,92,-0.024173011843946404,0.02570572807601193,-0.021664443629988334,-0.012688729592438492,0.0070112641488294415,-0.01458944057010387
24,conv_1e-5,2000,2611.0,2611.0,2897.0,2897.0,1e-05,1.5975292180003448e-06,1,3.259601202601296,60,92,3.966220212970764,160,92,-0.027449161634452705,0.02769910682953035,-0.02286924125899627,-0.02900000439618588,0.020532803214561066,-0.028519059909942274
25,cycle,50,2613.0,2613.0,2895.0,2895.0,1e-05,5.59073718156065e-06,,,,,,,,-0.027450901184161058,0.02769970579022946,-0.02287025560132393,-0.03345251538248236,0.027678888827056575,-0.03479481430358067
25,cycle,100,2613.0,2613.0,2895.0,2895.0,1e-05,7.474280656741646e-06,,,,,,,,-0.027470761033195592,0.027701192768327637,-0.02287721422578137,-0.040020870782775365,0.03829479050853074,-0.0451376139076718
25,cycle,200,2613.0,2613.0,2895.0,2895.0,1e-05,9.471466805639273e-06,,,,,,,,-0.027878029009718565,0.02796652507307494,-0.023055646271459774,-0.050225529579781124,0.0622804918824223,-0.06796168160162447
25,cycle,300,2613.0,2613.0,2895.0,2895.0,1e-05,9.589356714468391e-06,,,,,,,,-0.028248130079263356,0.028103612733359262,-0.023120909405967425,-0.057558808787163476,0.08135501543352822,-0.08418372099933699
25,cycle,400,2613.0,2613.0,2895.0,2895.0,1e-05,8.779350555638383e-06,,,,,,,,-0.0284422061436889,0.02826647546865511,-0.0231932597712076,-0.06349460150870963,0.08932135539026859,-0.08961042080023016
25,cycle,500,2613.0,2613.0,2895.0,2895.0,1e-05,7.623573844081644e-06,,,,,,,,-0.028677668113591685,0.028392859051106865,-0.02325765897600486,-0.06587809559374613,0.0909924143280225,-0.09104783946088674
25,cycle,1000,2613.0,2613.0,2895.0,2895.0,1e-05,3.381643371266166e-06,,,,,,,,-0.030103560259468955,0.02920774096740007,-0.02359841508100435,-0.0663532095610712,0.09133844014323793,-0.09162908590571957
25,conv_1e-5,3000,2613.0,2613.0,2895.0,2895.0,1e-05,1.0144133487334616e-06,1,3.259601202601296,65,92,3.966220212970764,160,92,-0.030213760326643285,0.02924520658689911,-0.02362110960456022,-0.06672620282912274,0.09152233373813987,-0.09219831300084211
26,conv_1e-5,2000,2615.0,2615.0,2893.0,2893.0,1e-05,1.5835595452592955e-06,1,3.3354160160315556,67,92,3.966220212970764,160,92,-0.033041308191045685,0.030785856180720064,-0.024250367498663956,-0.091243272968742,0.11837857877866445,-0.11722490915675671
27,conv_1e-5,2000,2617.0,2617.0,2891.0,2891.0,1e-05,1.7344241727959851e-06,1,3.691205765058325,76,92,3.966220212970764,160,92,-0.036205121673176056,0.032409747103363994,-0.024911494376827017,-0.1099592423043111,0.13663719157559776,-0.1356077871175475
28,conv_1e-5,2000,2619.0,2619.0,2889.0,2889.0,1e-05,1.8369855896535893e-06,1,5.422432828332471,93,92,3.966220212970764,160,92,-0.03937397801774198,0.033979872935810056,-0.02555343258508945,-0.12464795401258554,0.15026746371468455,-0.14975437412254605
29,conv_1e-5,2000,2621.0,2621.0,2887.0,2887.0,1e-05,1.9251610940982125e-06,1,5.9657587763651385,120,92,3.966220212970764,160,92,-0.04252806658843128,0.03546998311547156,-0.026169163720044342,-0.13630110644939192,0.16045213568662192,-0.1607871250742097
30,conv_1e-5,2000,2623.0,2623.0,2885.0,2885.0,1e-05,2.056881113868164e-06,1,7.9847945774731475,151,92,3.966220212970764,160,92,-0.045962251620075695,0.03696663284600571,-0.026830472792520352,-0.14556072627524955,0.16828526034946983,-0.16950827030087087
31,conv_1e-5,2000,2625.0,2625.0,2883.0,2883.0,1e-05,2.3694741480151913e-06,1,9.905806378079447,188,92,3.966220212970764,160,92,-0.04898635859132501,0.038364141665201454,-0.02746858474310707,-0.15284998833826427,0.1743993088686165,-0.17639866659384448
32,conv_1e-5,2000,2627.0,2627.0,2881.0,2881.0,1e-05,3.014769802109992e-06,1,11.632390124131817,227,92,3.966220212970764,160,92,-0.05155282177094278,0.03952318139436415,-0.02805721234200144,-0.158689037117094,0.17922397971878032,-0.18203150977502444
33,conv_1e-5,2000,2629.0,2629.0,2879.0,2879.0,1e-05,3.612751479228867e-06,1,14.015120802587143,270,92,3.966220212970764,160,92,-0.05410432483045795,0.0407475138519379,-0.0287345526309741,-0.16329682065736967,0.18310090450322472,-0.18654741308861827
34,conv_1e-5,2000,2631.0,2631.0,2877.0,2877.0,1e-05,4.188107726566647e-06,1,14.505985354711719,290,92,3.966220212970764,159,92,-0.05594563597189507,0.04173856837424631,-0.02935582011455532,-0.16699609560400264,0.18625077139944157,-0.190252760564318
35,conv_1e-5,2000,2633.0,2633.0,2875.0,2875.0,1e-05,4.812183316690557e-06,1,14.505985354711719,314,92,3.966220212970764,159,92,-0.05806425366138344,0.042820150038223356,-0.02999142889022771,-0.16998083232903483,0.18878154730644586,-0.19324553254763122
36,conv_1e-5,2000,2635.0,2635.0,2873.0,2873.0,1e-05,5.657347685860077e-06,1,14.505985354711719,328,92,3.966220212970764,159,92,-0.06002356731295555,0.04379416198732973,-0.030671454927619034,-0.17237829726097884,0.19082012823931774,-0.19567061649247508
37,conv_1e-5,2000,2637.0,2637.0,2871.0,2871.0,1e-05,6.715669691708485e-06,1,14.505985354711719,336,92,3.966220212970764,159,92,-0.06209576170499157,0.044775113377820884,-0.031457229477715856,-0.17435084546368776,0.19247629537979116,-0.19768625850211072
38,conv_1e-5,2000,2639.0,2639.0,2869.0,2869.0,1e-05,7.77776219678515e-06,1,14.505985354711719,342,92,3.966220212970764,159,92,-0.06419379166154335,0.045724460708484606,-0.03236257780475503,-0.17593619000472513,0.1938093193876478,-0.19927601602190037
39,conv_1e-5,2000,2641.0,2641.0,2867.0,2867.0,1e-05,9.077282364865884e-06,1,14.505985354711719,351,92,3.966220212970764,159,92,-0.06633646048897945,0.04664631081704164,-0.03334712790395646,-0.17724402874357073,0.19489668628644158,-0.20055169012214868
40,conv_1e-5,2500,2643.0,2643.0,2865.0,2865.0,1e-05,9.95390541117955e-06,1,14.505985354711719,364,92,3.966220212970764,159,92,-0.06921777785577539,0.047910965912625086,-0.03470540772149194,-0.17861354067789117,0.19599108833928416,-0.2018531887029068
41,conv_1e-5,20000,2645.0,2653.0,2863.0,2863.0,1e-05,1.665644526457035e-05,cap_ratio=1.665645e-05,14.505985354711719,2068,276,3.966220212970764,159,92,-0.09531794052150991,0.06100294853025634,-0.04957177891338696,-0.1824801370618535,0.197910506774329,-0.2041072800207203
42,conv_1e-5,20000,2655.0,2663.0,2861.0,2861.0,1e-05,1.6998685843568768e-05,cap_ratio=1.699869e-05,14.505985354711719,2177,276,4.038873605350852,164,92,-0.10565541161753371,0.0645426967347782,-0.05301070436058259,-0.18466082548468313,0.199565348259598,-0.2057690701593415
43,conv_1e-4,2000,2665.0,2673.0,2851.0,2859.0,0.0001,4.207190892763113e-05,1,14.505985354711719,2286,276,7.281182939605322,1363,276,-0.10632144754576846,0.06487416895751642,-0.053137939820444596,-0.1851982232800802,0.20004029461528047,-0.20629202852171777
44,conv_1e-4,2000,2675.0,2683.0,2841.0,2849.0,0.0001,5.469203506928906e-05,1,14.826836123881744,2408,276,8.836575662803131,1469,276,-0.10752838914768512,0.06512333988721816,-0.05337382890915108,-0.18567376814363676,0.20029521604944237,-0.20660383310110497
45,conv_1e-4,2000,2685.0,2693.0,2831.0,2839.0,0.0001,7.072148072486572e-05,1,14.826836123881744,2533,276,10.299760649861948,1658,276,-0.10901378133816013,0.0654655427031545,-0.0534941724805361,-0.18631730543584485,0.20053480882901184,-0.20685508739992098
46,conv_1e-4,2000,2695.0,2703.0,2821.0,2829.0,0.0001,8.48905498225614e-05,1,14.826836123881744,2573,276,14.474058051029543,1974,276,-0.11123881186174538,0.06593631556941737,-0.053401063860497415,-0.18717782411526462,0.20069999705222788,-0.2071277813981384
47,conv_1e-4,2000,2705.0,2713.0,2811.0,2819.0,0.0001,9.546058473165662e-05,1,14.826836123881744,2614,276,14.826836123881744,2258,276,-0.1136402981344413,0.0666054058806153,-0.053078704699551275,-0.18807051034890201,0.200834358506773,-0.20744822311415317
48,conv_1e-4,2000,2715.0,2723.0,2801.0,2809.0,0.0001,9.965988531817123e-05,1,14.826836123881744,2687,276,14.826836123881744,2413,276,-0.11678959266943849,0.06751764311232265,-0.05261299109546808,-0.1895746061982599,0.20111116613354396,-0.20797502589670577
49,conv_1e-4,3000,2725.0,2733.0,2791.0,2799.0,0.0001,9.841274797133106e-05,1,14.826836123881744,2719,276,14.826836123881744,2633,276,-0.1201893057270238,0.06895106767589072,-0.05170916252273944,-0.19311525176866254,0.2020186818923797,-0.20910915460181534
50,conv_1e-4,3000,2735.0,2743.0,2781.0,2789.0,0.0001,9.961049004114273e-05,1,14.826836123881744,2730,276,14.826836123881744,2727,276,-0.12263794364876439,0.07003444576889113,-0.05107382522991957,-0.1965268434441743,0.20310462333475066,-0.21071347555559403
51,conv_1e-4,4500,2745.0,2753.0,2771.0,2779.0,0.0001,9.870522571680001e-05,1,14.826836123881744,2730,276,14.826836123881744,2730,276,-0.1258706608144556,0.07151492639001154,-0.050181896167129425,-0.20178101308791582,0.20559814034864293,-0.21327629985589144
52,conv_1e-4,2000,2755.0,2763.0,-1,-1,0.0001,9.596933200933897e-05,1,14.826836123881744,2730,276,-1.0,0,0,-0.1267840574596161,0.07197191715173631,-0.04988391207698696,-0.2015121746647657,0.20579266475488703,-0.21393293100832558
53,conv_1e-4,2000,2765.0,2773.0,-1,-1,0.0001,9.444101921348296e-05,1,14.826836123881744,2730,276,-1.0,0,0,-0.1280830464843191,0.07250705628852977,-0.04960529402285529,-0.20348546296071596,0.20609672166721046,-0.2145987452105421
54,conv_1e-4,2000,2775.0,2783.0,-1,-1,0.0001,9.131874778007778e-05,1,14.826836123881744,2730,276,-1.0,0,0,-0.1287807722679164,0.07293852306232808,-0.049323488219531406,-0.20463365601346714,0.20644516966527948,-0.21527360120288222
