step,phase,cycle,excav_xmin,excav_xmax,ratio_target,ratio_avg,converged,plastic_thick_max_m,plastic_nzone,contour_ngp,crown_gp_id,crown_x,crown_y,crown_z,crown_ux,crown_uy,crown_uz,wallL_gp_id,wallL_x,wallL_y,wallL_z,wallL_ux,wallL_uy,wallL_uz,wallR_gp_id,wallR_x,wallR_y,wallR_z,wallR_ux,wallR_uy,wallR_uz,n_lined
1,conv_1e-5,3000,2845.99,2847.01,1e-05,6.57688e-06,1,2.26385,288,92,128220,2896,4800,220,-0.000181719,8.34577e-05,-0.00148969,69034,2896,4797,217,-0.000169333,0.000112919,-0.00152793,121554,2896,4803,217,-0.000181151,5.68433e-05,-0.00166681,0
2,conv_1e-5,2000,2846.99,2848.01,1e-05,1.36327e-06,1,2.26385,451,138,128220,2896,4800,220,-0.000254429,9.43738e-05,-0.00151704,69034,2896,4797,217,-0.000240132,0.00012605,-0.00155351,121554,2896,4803,217,-0.000253338,6.61923e-05,-0.00169347,0
3,conv_1e-5,2000,2847.99,2849.01,1e-05,4.07295e-07,1,2.76134,494,138,128220,2896,4800,220,-0.000294892,9.74382e-05,-0.00152433,69034,2896,4797,217,-0.000280679,0.000130283,-0.00155959,121554,2896,4803,217,-0.000294349,6.82395e-05,-0.0016997,0
4,conv_1e-5,2000,2848.99,2850.01,1e-05,3.8451e-07,1,2.76134,493,138,128220,2896,4800,220,-0.000325576,9.72989e-05,-0.00152547,69034,2896,4797,217,-0.000311691,0.000131072,-0.00155964,121554,2896,4803,217,-0.000325318,6.69301e-05,-0.00169944,0
5,conv_1e-5,2000,2849.99,2851.01,1e-05,1.82757e-06,1,3.2596,578,138,128220,2896,4800,220,-0.000405206,9.52586e-05,-0.00152545,69034,2896,4797,217,-0.00039251,0.000130798,-0.00155727,121554,2896,4803,217,-0.000406365,6.2574e-05,-0.00169633,0
6,conv_1e-5,2000,2850.99,2852.01,1e-05,1.99668e-06,1,3.2596,645,138,128220,2896,4800,220,-0.000498291,9.18987e-05,-0.00152508,69034,2896,4797,217,-0.000488143,0.000129594,-0.00155408,121554,2896,4803,217,-0.000500779,5.64181e-05,-0.00169235,0
7,conv_1e-5,2000,2851.99,2853.01,1e-05,2.14474e-06,1,3.75832,698,138,128220,2896,4800,220,-0.000595922,8.77546e-05,-0.00152433,69034,2896,4797,217,-0.000588124,0.000127745,-0.00155028,121554,2896,4803,217,-0.00060127,4.93181e-05,-0.00168757,0
8,conv_1e-5,2000,2852.99,2854.01,1e-05,2.2616e-06,1,3.75832,734,138,128220,2896,4800,220,-0.000692833,8.35383e-05,-0.00152327,69034,2896,4797,217,-0.000687761,0.000125448,-0.00154649,121554,2896,4803,217,-0.000700707,4.24798e-05,-0.00168295,0
9,conv_1e-5,2000,2853.99,2855.01,1e-05,2.35998e-06,1,4.25735,772,138,128220,2896,4800,220,-0.000791115,7.90097e-05,-0.00152193,69034,2896,4797,217,-0.000788932,0.000122737,-0.00154244,121554,2896,4803,217,-0.000801502,3.54173e-05,-0.00167812,0
10,conv_1e-5,2000,2854.99,2856.01,1e-05,2.50058e-06,1,4.25735,796,138,128220,2896,4800,220,-0.000888936,7.4286e-05,-0.00152023,69034,2896,4797,217,-0.000889999,0.000119695,-0.00153825,121554,2896,4803,217,-0.000902165,2.85707e-05,-0.00167315,0
11,conv_1e-5,2000,2855.99,2857.01,1e-05,2.62974e-06,1,4.25735,822,138,128220,2896,4800,220,-0.000987883,6.89675e-05,-0.00151806,69034,2896,4797,217,-0.000992484,0.000115915,-0.0015337,121554,2896,4803,217,-0.00100396,2.13454e-05,-0.0016679,0
