step,phase,cycle,excav_xmin,excav_xmax,ratio_target,ratio_avg,converged,plastic_thick_max_m,plastic_nzone,contour_ngp,crown_gp_id,crown_x,crown_y,crown_z,crown_ux,crown_uy,crown_uz,wallL_gp_id,wallL_x,wallL_y,wallL_z,wallL_ux,wallL_uy,wallL_uz,wallR_gp_id,wallR_x,wallR_y,wallR_z,wallR_ux,wallR_uy,wallR_uz,n_lined
1,conv_1e-5,3000,2845.99,2847.01,1e-05,6.57688e-06,1,2.26385,288,92,128220,2896,4800,220,-0.000181719,8.34577e-05,-0.00148969,69034,2896,4797,217,-0.000169333,0.000112919,-0.00152793,121554,2896,4803,217,-0.000181151,5.68433e-05,-0.00166681,0
2,conv_1e-5,2000,2846.99,2848.01,1e-05,1.405e-06,1,2.26385,451,138,128220,2896,4800,220,-0.000252006,9.43246e-05,-0.00151676,69034,2896,4797,217,-0.000237606,0.000125932,-0.0015533,121554,2896,4803,217,-0.000250961,6.61586e-05,-0.00169325,1
3,conv_1e-5,2000,2847.99,2849.01,1e-05,4.4036e-07,1,2.76134,483,138,128220,2896,4800,220,-0.000283243,9.74046e-05,-0.00152401,69034,2896,4797,217,-0.00026894,0.0001299,-0.0015597,121554,2896,4803,217,-0.000282557,6.859e-05,-0.00169984,2
4,conv_1e-5,2000,2848.99,2850.01,1e-05,3.1022e-07,1,2.76134,456,138,128220,2896,4800,220,-0.000300092,9.79201e-05,-0.00152619,69034,2896,4797,217,-0.000285992,0.000130913,-0.00156127,121554,2896,4803,217,-0.000299729,6.85469e-05,-0.00170136,3
