zid x y z sxx syy szz sxy sxz syz
6538 2575 4785 200.743 -5.53045e+06 -4.57677e+06 -3.56217e+06 -220313 19218.2 31542.2
6539 2577 4785 200.743 -5.52264e+06 -4.55023e+06 -3.53866e+06 -232531 19728.5 31624.5
6540 2579 4785 200.743 -5.51762e+06 -4.52935e+06 -3.51989e+06 -244003 20357 31657.9
6541 2581 4785 200.743 -5.51255e+06 -4.50799e+06 -3.50077e+06 -253909 21049.3 31652.6
6542 2583 4785 200.743 -5.50701e+06 -4.48611e+06 -3.48104e+06 -262346 21804.4 31639.5
6543 2585 4785 200.743 -5.50162e+06 -4.46485e+06 -3.46164e+06 -269848 22657.7 31606
6544 2587 4785 200.743 -5.49586e+06 -4.44844e+06 -3.44586e+06 -277515 23615.6 31471.5
6545 2589 4785 200.743 -5.49331e+06 -4.44141e+06 -3.43753e+06 -286217 24543.3 31140.1
6546 2591 4785 200.743 -5.4929e+06 -4.44163e+06 -3.4346e+06 -295135 25231.2 30549.7
6547 2593 4785 200.743 -5.49009e+06 -4.44126e+06 -3.43046e+06 -303731 25396.7 29733.8
6548 2595 4785 200.743 -5.48653e+06 -4.44114e+06 -3.42601e+06 -312352 25070.6 28776.2
6549 2597 4785 200.743 -5.48263e+06 -4.44103e+06 -3.4214e+06 -321261 24506.2 27659.5
6550 2599 4785 200.743 -5.47934e+06 -4.44091e+06 -3.4169e+06 -330296 23684.9 26326
6551 2601 4785 200.743 -5.47597e+06 -4.44044e+06 -3.41226e+06 -339130 22639.4 24805.4
6552 2603 4785 200.743 -5.472e+06 -4.43944e+06 -3.40731e+06 -347833 21557.8 23174
6553 2605 4785 200.743 -5.46949e+06 -4.44185e+06 -3.40506e+06 -356477 20328.9 21524.8
6554 2607 4785 200.743 -5.46525e+06 -4.44045e+06 -3.39959e+06 -365124 18934.5 19898.7
6555 2609 4785 200.743 -5.46117e+06 -4.43855e+06 -3.39365e+06 -374007 17337.6 18205.8
6556 2611 4785 200.743 -5.45734e+06 -4.43932e+06 -3.3899e+06 -382400 15486.1 16420.7
6557 2613 4785 200.743 -5.45429e+06 -4.44399e+06 -3.38916e+06 -389410 13775.4 14618.6
6558 2615 4785 200.743 -5.44966e+06 -4.44786e+06 -3.38746e+06 -395000 12055.9 12853.8
6559 2617 4785 200.743 -5.44648e+06 -4.45324e+06 -3.38727e+06 -399228 9632.5 11247.1
6560 2619 4785 200.743 -5.44174e+06 -4.46106e+06 -3.38967e+06 -402689 7227.34 9707.75
6561 2621 4785 200.743 -5.43979e+06 -4.47273e+06 -3.39586e+06 -406301 5584.19 7756.08
6562 2623 4785 200.743 -5.43937e+06 -4.4835e+06 -3.40143e+06 -408760 3979.37 5231.39
6563 2625 4785 200.743 -5.43814e+06 -4.49382e+06 -3.40608e+06 -410084 1481.13 2506.05
6564 2627 4785 200.743 -5.43661e+06 -4.50472e+06 -3.41132e+06 -411039 -2834.12 168.675
6565 2629 4785 200.743 -5.43145e+06 -4.51514e+06 -3.41712e+06 -412505 -7571.61 -1586.88
6566 2631 4785 200.743 -5.42961e+06 -4.52139e+06 -3.42125e+06 -414720 -10669.1 -3516.8
6567 2633 4785 200.743 -5.4257e+06 -4.52638e+06 -3.42403e+06 -415170 -12670.7 -6135.28
6568 2635 4785 200.743 -5.41841e+06 -4.52894e+06 -3.42374e+06 -414712 -14645.6 -9095.23
6569 2637 4785 200.743 -5.42112e+06 -4.53755e+06 -3.42809e+06 -411925 -17204.6 -11846
6570 2639 4785 200.743 -5.4159e+06 -4.54433e+06 -3.43096e+06 -407781 -22597.2 -13888.3
6571 2641 4785 200.743 -5.41019e+06 -4.55059e+06 -3.4356e+06 -406075 -26417.7 -15844.8
6572 2643 4785 200.743 -5.40652e+06 -4.556e+06 -3.44056e+06 -403256 -28022.9 -18618.7
6573 2645 4785 200.743 -5.39849e+06 -4.55975e+06 -3.44347e+06 -399733 -30325.3 -21754.6
6574 2647 4785 200.743 -5.38953e+06 -4.5629e+06 -3.44489e+06 -396038 -30605.5 -24497.3
6575 2649 4785 200.743 -5.38553e+06 -4.56977e+06 -3.44806e+06 -392461 -31741.3 -26554.6
6576 2651 4785 200.743 -5.40125e+06 -4.57827e+06 -3.45582e+06 -393101 -35818.9 -29512.5
6577 2653 4785 200.743 -5.39902e+06 -4.58333e+06 -3.462e+06 -384987 -42394.2 -33335.8
6578 2655 4785 200.743 -5.3949e+06 -4.59218e+06 -3.47037e+06 -376259 -47324.8 -36512.7
6579 2657 4785 200.743 -5.39463e+06 -4.60598e+06 -3.47802e+06 -364019 -47716.4 -39039
10280 2559 4790.5 200.743 -5.5361e+06 -4.71378e+06 -3.65364e+06 -151152 12058 27000.9
10281 2561 4790.5 200.743 -5.53089e+06 -4.69788e+06 -3.64094e+06 -163218 12294.9 26637.9
10282 2563 4790.5 200.743 -5.52921e+06 -4.68486e+06 -3.63069e+06 -176450 12511.7 26338.3
10283 2565 4790.5 200.743 -5.52115e+06 -4.6683e+06 -3.61539e+06 -189831 12732.6 26108.2
10284 2567 4790.5 200.743 -5.51096e+06 -4.65308e+06 -3.60001e+06 -205199 13004 25965.7
10285 2569 4790.5 200.743 -5.50601e+06 -4.6337e+06 -3.58268e+06 -221104 13312.5 25900.6
10286 2571 4790.5 200.743 -5.49963e+06 -4.60603e+06 -3.55914e+06 -234023 13649.3 25896
10287 2573 4790.5 200.743 -5.49243e+06 -4.57752e+06 -3.53453e+06 -246078 14011.4 25960.4
10288 2575 4790.5 200.743 -5.48464e+06 -4.54923e+06 -3.50983e+06 -258312 14415.3 26093.1
10289 2577 4790.5 200.743 -5.47782e+06 -4.52549e+06 -3.48833e+06 -269324 14906.2 26263.5
10290 2579 4790.5 200.743 -5.46945e+06 -4.50529e+06 -3.46967e+06 -279138 15538.8 26467.1
10291 2581 4790.5 200.743 -5.46618e+06 -4.48901e+06 -3.45578e+06 -288574 16375.9 26662.8
10292 2583 4790.5 200.743 -5.46443e+06 -4.47096e+06 -3.44144e+06 -296388 17369.2 26767.2
10293 2585 4790.5 200.743 -5.46261e+06 -4.45302e+06 -3.42654e+06 -302138 18364.9 26764
10294 2587 4790.5 200.743 -5.45897e+06 -4.43653e+06 -3.411e+06 -306074 19269.1 26641.6
10295 2589 4790.5 200.743 -5.45077e+06 -4.42401e+06 -3.39634e+06 -311500 19992.5 26347.1
10296 2591 4790.5 200.743 -5.44313e+06 -4.42136e+06 -3.38871e+06 -321129 20426 25855.3
10297 2593 4790.5 200.743 -5.43964e+06 -4.42263e+06 -3.38505e+06 -331957 20585 25082.4
10298 2595 4790.5 200.743 -5.43657e+06 -4.42284e+06 -3.38107e+06 -341576 20374.1 23893.8
10299 2597 4790.5 200.743 -5.43343e+06 -4.42288e+06 -3.37697e+06 -350395 19702 22344
10300 2599 4790.5 200.743 -5.42938e+06 -4.42289e+06 -3.37277e+06 -358787 18769 20591.1
10301 2601 4790.5 200.743 -5.42514e+06 -4.42273e+06 -3.36861e+06 -367026 17848.5 18732.3
10302 2603 4790.5 200.743 -5.42139e+06 -4.42289e+06 -3.36458e+06 -374688 17099.2 16829.1
10303 2605 4790.5 200.743 -5.4146e+06 -4.42201e+06 -3.35917e+06 -383224 16453 14861.6
10304 2607 4790.5 200.743 -5.41157e+06 -4.42114e+06 -3.3543e+06 -392626 15517.9 12887.2
