zid x y z sxx syy szz sxy sxz syz
6424 2847 4775 200.743 -4.90604e+06 -5.54214e+06 -4.94968e+06 114543 72539.4 71970.4
6425 2849 4775 200.743 -4.87465e+06 -5.54127e+06 -4.96375e+06 131267 69536.7 73109.2
6426 2851 4775 200.743 -4.84326e+06 -5.53452e+06 -4.97743e+06 153125 67013.9 73945
6427 2853 4775 200.743 -4.80518e+06 -5.5149e+06 -4.98505e+06 182174 66588.2 74282.3
6428 2855 4775 200.743 -4.73092e+06 -5.45365e+06 -4.96126e+06 214246 66456.1 74931.7
6429 2857 4775 200.743 -4.92095e+06 -5.55352e+06 -5.09589e+06 195006 53139.6 75002.8
6430 2859 4775 200.743 -4.90142e+06 -5.54106e+06 -5.10948e+06 189116 47777.3 75095.3
6431 2861 4775 200.743 -4.88243e+06 -5.53491e+06 -5.129e+06 184797 40751.2 76975.7
6432 2863 4775 200.743 -4.87247e+06 -5.53721e+06 -5.15425e+06 178212 32015.4 80113.2
6433 2865 4775 200.743 -4.83803e+06 -5.52532e+06 -5.16082e+06 172914 20699.2 85110.3
6434 2867 4775 200.743 -4.81646e+06 -5.5115e+06 -5.16374e+06 169148 7792.26 93059.2
6435 2869 4775 200.743 -4.86522e+06 -5.5328e+06 -5.20056e+06 171114 -352.435 104724
6436 2871 4775 200.743 -4.83461e+06 -5.5118e+06 -5.19481e+06 189479 965.68 115977
6437 2873 4775 200.743 -4.8041e+06 -5.50502e+06 -5.20124e+06 206746 -254.859 123107
6438 2875 4775 200.743 -4.77189e+06 -5.5044e+06 -5.21075e+06 222930 -5503.66 127253
6439 2877 4775 200.743 -4.73834e+06 -5.50226e+06 -5.21696e+06 237954 -14762.2 129185
6440 2879 4775 200.743 -4.70682e+06 -5.50389e+06 -5.22131e+06 251408 -28479.5 129173
6441 2881 4775 200.743 -4.67654e+06 -5.50899e+06 -5.21952e+06 263522 -48317.4 126984
6442 2883 4775 200.743 -4.65608e+06 -5.52456e+06 -5.20836e+06 275789 -74500.5 121482
6443 2885 4775 200.743 -4.99052e+06 -5.75846e+06 -5.4034e+06 258092 -80797.4 119883
6444 2887 4775 200.743 -4.98046e+06 -5.77726e+06 -5.39636e+06 265706 -69936.7 122916
6445 2889 4775 200.743 -4.96166e+06 -5.78749e+06 -5.39691e+06 273195 -65058.7 123611
6446 2891 4775 200.743 -4.94393e+06 -5.80017e+06 -5.40498e+06 280862 -65590.1 122478
6447 2893 4775 200.743 -4.92477e+06 -5.8096e+06 -5.41336e+06 288747 -69619.8 119602
6448 2895 4775 200.743 -4.91514e+06 -5.82213e+06 -5.42687e+06 297876 -76505.4 114797
6449 2897 4775 200.743 -4.89899e+06 -5.81249e+06 -5.42562e+06 308931 -86008.7 107689
6450 2899 4775 200.743 -4.89081e+06 -5.79627e+06 -5.42141e+06 320962 -97619.2 97677.7
6451 2901 4775 200.743 -4.89114e+06 -5.77039e+06 -5.41082e+06 332375 -106301 83972.9
6452 2903 4775 200.743 -4.90242e+06 -5.75429e+06 -5.40601e+06 320555 -107812 73250.9
6453 2905 4775 200.743 -4.90919e+06 -5.75038e+06 -5.40775e+06 319624 -110342 67919.9
6454 2907 4775 200.743 -4.91814e+06 -5.75103e+06 -5.41355e+06 316960 -110754 63469.1
