step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-0.00020614490382133023,-0.00015198823099131793,-0.00010872823005335796,0.00026006196897004864,0.0003111147978092594,0.0003543747987472193,-0.00040309392881241103,-0.00034990945938590933,-0.0003066494584479494,-0.00019805109534262708,-0.00014632274866665867,-0.0001030627477286987,-0.0003976593759850818,-0.0003432675573062578,-0.00030000755636829787,-2.846409479724816e-05,2.544618327851097e-05,6.870618421647094e-05,-1.4459304225714206e-05,4.1699002825400445e-05,8.49590037633604e-05
2,0.0,0.0,0.0,0.0,-0.0004481547861650238,-0.0003418833379308065,-0.00025536333605488654,-0.0005407256755202339,-0.0004263891125296201,-0.00033986911065370015,-0.00021896045840656103,-0.0001092408157127299,-2.2720813836809974e-05,-0.0002890522346601528,-0.0001745170031237662,-8.799700124784629e-05,-7.00857515120549e-05,3.2777817511838384e-05,0.00011929781938775831,0.00014519623132025914,0.0002532542316688114,0.0003397742335447314,-0.00015863895292510269,-4.387619387113016e-05,4.264380800478977e-05
3,0.0,0.0,0.0,0.0,-6.596580520794497e-05,9.028436808467195e-05,0.00022006437089855185,-0.000298907402095756,-0.00013362887142683618,-3.848868612956282e-06,-0.0005257427235300195,-0.0003617437182062102,-0.0002319637153923303,-0.00020066834596167986,-2.9147315583260713e-05,0.0001006326872306192,-3.9080605980346914e-05,0.00012694697032796228,0.00025672697314184216,-0.0003805524343409746,-0.0002244491529848476,-9.46691501709677e-05,-4.258693743275558e-05,0.00012549180356078902,0.0002552718063746689
4,0.0,0.0,0.0,0.0,-0.00015207203915569426,6.307194331670701e-05,0.00023611194706854685,-0.0004352608284943925,-0.00022845697601765692,-5.541697226581705e-05,-0.0004757233036308872,-0.00024608458490922564,-7.304458115738579e-05,-0.00034700997827251867,-0.00013410467738886515,3.893532636297471e-05,0.00012201252922792506,0.0003251028918236223,0.0004981428955754621,-0.000361636887343822,-0.00014426487528176432,2.8775128470075542e-05,-0.00048697287888777713,-0.000277134814989905,-0.00010409481123806515
5,0.0,0.0,0.0,0.0,-0.0003703832879229445,-0.00010548630611269731,0.00011081369857710251,-0.0006391850086807291,-0.00037135297409425126,-0.0001550529694044514,-0.00044523161020028503,-0.00017864147552522068,3.7658529164579137e-05,-0.00022017642575791464,6.126765844200222e-05,0.000277567663131802,-0.00016279204122654473,0.0001036963748901995,0.0003199963795799993,-0.00039750368826321135,-0.00011207267301980117,0.00010422733166999865,-0.0005624809473410894,-0.00030729308038221693,-9.099307569241711e-05
6,0.0,0.0,0.0,0.0,-0.0006145753788000403,-0.00028485725254208556,-2.5297246914325735e-05,-4.320319324796983e-05,0.00028150175337382575,0.0005410617590015856,-0.0006987107619880601,-0.0003656049772798695,-0.0001060449716521097,-0.0005290256015412264,-0.00019572252769889988,6.383747792885992e-05,-0.0006263924525619178,-0.00029567774748337505,-3.6117741855615275e-05,-0.0007919059691080862,-0.00046748587350915147,-0.00020792586788139167,-0.0006553175107171746,-0.00032506692042642653,-6.550691479866676e-05
7,0.0,0.0,0.0,0.0,-0.0003762486513713521,8.18713875434869e-06,0.00031100714532006845,-0.0007224355068111948,-0.000357782602301782,-5.4962595736062186e-05,-0.0006449132455395864,-0.00027227819498003975,3.0541811585680053e-05,-0.000806608232576474,-0.0004476483269423079,-0.00014482832037658808,-0.0006849890275263856,-0.00030710212384296156,-4.282117277241748e-06,-0.0005355649907273759,-0.00015212088141815835,0.00015069912514756144,-0.0002842806117049249,9.872941146671791e-05,0.0004015494180324377
8,0.0,0.0,0.0,0.0,-0.0007908118280151737,-0.0003786034740536882,-3.252346655000849e-05,-0.0003679215342751222,5.444703598672695e-05,0.00040052704349040667,-0.0006137202558407232,-0.0001805066001690537,0.000165573407334626,-0.0006436411414504885,-0.00019722973119217372,0.000148850276311506,-0.0004366108804319609,-1.6422880414499374e-05,0.00032965712708918034,-0.00044098969233083624,-1.3274138335385026e-05,0.00033280586916829467,-0.0005214627384459139,-7.083544281830651e-05,0.00027524456468537323
9,0.0,0.0,0.0,0.0,-0.000420401219119888,7.478410623036022e-05,0.0004641241146719999,-0.0006307885881836724,-0.00015799140406653242,0.0002313486043751073,-0.000709142658946165,-0.0001966119190930206,0.0001927280893486191,-0.0004466688940165945,4.3286920195462084e-05,0.00043262692863710176,-0.0008542282164118952,-0.00037784433881296,1.1495669628679693e-05,-0.0010285354192815963,-0.0005356940926583194,-0.00014635408421667965,-0.0007239933699061921,-0.00022889622666091527,0.00016044378178072443
10,0.0,0.0,0.0,0.0,-0.00027759124533510617,0.00023525408702156834,0.0006678540964011679,-0.0007677564111078536,-0.00019313866869632981,0.00023946134068326982,-0.000528472436491632,1.735968371276202e-06,0.0004343359777508758,-0.0008027906158720764,-0.00024251858457572734,0.0001900814248038723,-0.000532992181892704,2.8626839766517683e-05,0.0004612268491461173,-0.0006378613695191353,-6.540003323215684e-05,0.0003671999761474428,-0.0010174249537852806,-0.0004432823943480967,-1.0682384968497053e-05
