step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-0.00030924178807986073,-0.00020170465621641468,-0.00011906791388496428,-0.00019133651080551983,-9.099069558477491e-05,-8.353953253324515e-06,8.420134337561633e-05,0.00018589093533220334,0.0002685276776636537,-0.00024888093374841766,-0.00015184783527297168,-6.92110929415213e-05,-1.7401929328944533e-06,0.00010843078298119303,0.00019106752531264343,-8.640400856838729e-05,1.323538400321916e-05,9.587212633466955e-05,-0.00034279820721217207,-0.00023297141225294297,-0.00015033466992149256
2,0.0,0.0,0.0,0.0,-0.0002581341539108085,-4.206025422972871e-05,0.00012321323043317208,-0.00030577565172237614,-9.937598089485555e-05,6.589750376804523e-05,-0.0004029882726250683,-0.0002084943611437613,-4.3220876480860515e-05,-0.000425595774197621,-0.00022529941665789914,-6.002593199499834e-05,-0.00028984182612660136,-9.525393671650822e-05,7.001954794639256e-05,-0.00021749533558420978,-7.091770200269966e-07,0.0001645643076428738,-0.0006287261238631754,-0.0004112414166125858,-0.000245967931949685
3,0.0,0.0,0.0,0.0,-0.0006100982841387088,-0.0003201045847059781,-7.21943577116269e-05,-0.0006711170299797457,-0.00038183886284794735,-0.00013392863585359613,-0.0004388032312037024,-0.00013153226170598925,0.00011637796528836197,-0.0006361951134774485,-0.00033354041452122486,-8.563018752687365e-05,-0.000644524776799941,-0.0003422208938363174,-9.43106668419662e-05,-0.00039708794284495485,-7.899796700519698e-05,0.00016891225998915424,-0.00021213536984816364,0.00011010410673848307,0.00035801433373283426
4,0.0,0.0,0.0,0.0,-0.0009680922620865819,-0.000564836823152845,-0.00023428985382704348,-0.0007991899138196786,-0.00038561681017910976,-5.506984085330819e-05,-0.000555197425914752,-0.00015654708614901646,0.0001739998831767851,-0.0006490085089498103,-0.0002119579894160548,0.00011858897990974678,-0.00040505950809592475,2.7126621705718114e-05,0.0003576735910315197,-0.0004556961966727759,-1.7665105093763947e-05,0.0003128818642320376,-0.0006687594749981659,-0.00023153166320288415,9.901530612291743e-05
5,0.0,0.0,0.0,0.0,-0.00041542992935244774,8.315440195570843e-05,0.0004963381136129604,-0.0002487341597764422,0.00027975464474041655,0.0006929383563976685,-0.000551581751127634,-3.75933090847909e-05,0.00037559040257246107,-0.0008540994977118922,-0.00032791416301053634,8.526954864671565e-05,-0.0004662309073347574,6.348591772029926e-05,0.00047666962937755126,-0.000676807753638495,-0.00016883194957040626,0.00024435176208684574,-0.0005801575819176477,-8.474855726207784e-05,0.00032843515439517413
6,0.0,0.0,0.0,0.0,-0.0009227784580088062,-0.00027838260474572087,0.00021743784924298156,-0.0008647041019506755,-0.00022730559929698969,0.0002685148546917128,-0.0007249720698013818,-6.875361835646245e-05,0.00042706683563224,-0.0011263927812621764,-0.00048813333675505654,7.687117233645896e-06,-0.0006456052350570412,-5.451577120770825e-05,0.0004413046827809942,-0.0010906196165236665,-0.0004421175026985643,5.3702951290138115e-05,-0.0007878599768053064,-0.00016368399950186997,0.00033213645448683247
7,0.0,0.0,0.0,0.0,-0.0013109217237318377,-0.0005436442401796049,3.481295614054798e-05,-0.0012422016539947913,-0.0005285701435985906,4.988705272156228e-05,-0.0010059574299155051,-0.0002905809062293808,0.00028787629009077205,-0.001065053281721283,-0.0003000473904791661,0.00027840980584098674,-0.0010990338002566736,-0.0003926074286779314,0.0001858497676422214,-0.0013495381215302593,-0.0006565777391988124,-7.81205428786595e-05,-0.0010497080429480643,-0.0003596800002423225,0.00021877719607783032
8,0.0,0.0,0.0,0.0,-0.0012027676095949101,-0.0004233958876532979,0.00023769805099830524,-0.0013374052775038464,-0.00047481011889552254,0.00018628381975608062,-0.001127855705935169,-0.00029850162806231673,0.0003625923105892864,-0.0011359198495959379,-0.0003104585987593003,0.00035063533989230285,-0.0010177078005859808,-0.0002347233391664129,0.00042637059948519025,-0.0007858247218364002,1.615894779681982e-05,0.000677252886448423,-0.001296414773580282,-0.0005188296266159985,0.00014226431203560462
9,0.0,0.0,0.0,0.0,-0.001260211033439397,-0.00036833421830955896,0.0003753964626734946,-0.0014812973244985928,-0.0004985671255782501,0.0002451635554048035,-0.0012894878962276695,-0.00036224154369355905,0.0003814891372894945,-0.0013872387531857662,-0.00043687576025280253,0.000306854920730251,-0.0009062316748240944,3.263870263529032e-06,0.0007469945512465826,-0.0012375031804275124,-0.00032036087570682845,0.0004233698052762251,-0.001542815158489507,-0.0005837165604570957,0.00016001412052595783
10,0.0,0.0,0.0,0.0,-0.0014754751665139406,-0.0004162407402903244,0.00041012668302417956,-0.0014843837998154343,-0.0005195016758058583,0.00030686574750864556,-0.0012533640421178633,-0.00026874198077031,0.000557625442544194,-0.0012315333227834245,-0.00023944967370907348,0.0005869177496054304,-0.0013095939748533113,-0.00031558257652111006,0.0005107848467933939,-0.0013746819387880239,-0.0002885493369187386,0.0005378180863957653,-0.0012857544430961627,-0.0002711949509688522,0.0005551724723456518
