step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-0.00011904205428258757,-3.361511046845301e-05,3.088439852224374e-05,3.88911346168324e-05,0.00011606792976234819,0.00018056743875304493,0.0002137777634811287,0.0002915054901714669,0.0003560049991621637,-0.0002341273698067551,-0.00015764084871062304,-9.31413397199263e-05,-0.00013827451577341033,-5.3800256084954355e-05,1.06992529057424e-05,-0.00011770947583289386,-3.6639331749424426e-05,2.7860177241272326e-05,-0.0004924259091834573,-0.0004144034873306778,-0.000349903978339981
2,0.0,0.0,0.0,0.0,-0.0004061396859307819,-0.00024588815924255603,-0.00011688914126116252,-5.757000527287603e-05,0.00011287030630106173,0.00024186932428245524,-0.00023060896458243683,-7.607050149089065e-05,5.292851649050286e-05,-0.00010377247808062662,6.707852342020334e-05,0.00019607754140159685,-0.00033339800132953527,-0.00016397391608986785,-3.497489810847434e-05,-0.00035622757854954863,-0.00018558991086078372,-5.65908928793902e-05,-0.0002904117464545651,-0.00012117458411148832,7.824433869905184e-06
3,0.0,0.0,0.0,0.0,-0.00017630725929104816,5.651629370303498e-05,0.00025001482067512525,-0.00017912266848549012,6.796316223709324e-05,0.0002614616892091835,-0.00043817885316857816,-0.0002059372546248673,-1.2438727652777027e-05,-0.00037597269039058115,-0.00012559768725583915,6.79008397162511e-05,-0.0003147017686683868,-5.845809737843385e-05,0.00013504042959365642,-0.00032309971847125355,-7.799802762535182e-05,0.00011550049934673845,-0.0002511431419763467,-1.4949324595326063e-05,0.0001785492023767642
4,0.0,0.0,0.0,0.0,-0.00027293101256237054,6.162290106634079e-05,0.0003196209370291278,-0.0003425630638166764,-1.0224124361812544e-05,0.00024777391160097446,-0.0005388021534926894,-0.00020721216133357797,5.078587462920902e-05,-0.0005235326782108431,-0.00019852974263238185,5.946829333040515e-05,-0.0005181722530453493,-0.00020502109928807242,5.2976936674714587e-05,-0.00027480797509578706,6.690905635060127e-05,0.0003249070923133883,-0.0002041940967581471,0.00011727133252686442,0.00037526936848965146
5,0.0,0.0,0.0,0.0,-0.0003616361014704444,5.456041636407442e-05,0.0003770579613175582,-0.00032252813706743654,5.811051707854713e-05,0.0003806080620320309,-0.000527205179501886,-0.0001240765915485538,0.00019842095340492994,-0.00045378752234216994,-4.062731143869821e-05,0.00028187023351478556,-0.000871594909918363,-0.0004718841254536506,-0.00014938658050016687,-0.00051236064836777,-8.673570244821331e-05,0.00023576184250527043,-0.0008502750274929692,-0.00046852051613509044,-0.0001460229711816067
6,0.0,0.0,0.0,0.0,-0.0007574626032153446,-0.0002567269755542076,0.00013027007838997296,-0.0007168985822109288,-0.00020333869357217594,0.0001836583603720046,-0.00045674484324573656,5.2268308671760686e-05,0.0004392653626159412,-0.000526857220934136,-7.096158625134294e-05,0.0003160354676928376,-0.0008924272332644062,-0.0004287601298648046,-4.176307592062406e-05,-0.0005564000752406093,-6.0565906415303736e-05,0.0003264311475288768,-0.0005710657275672017,-7.49501287512911e-05,0.00031204692519288944
7,0.0,0.0,0.0,0.0,-0.0006560867098410002,-6.378267546811275e-05,0.0003877138874667645,-0.0009581847768394762,-0.00037258143525754407,7.891512767733318e-05,-0.0006676034688558239,-0.00010641388845404064,0.00034508267448083666,-0.0005887942603312569,8.863991844958608e-06,0.0004603605547798359,-0.0008382098786857748,-0.000272233231342855,0.00017926333159202227,-0.000610723796196514,-7.582123505775018e-05,0.0003756753278771271,-0.0006213926469131945,-2.776576607261004e-05,0.00042373079686226724
8,0.0,0.0,0.0,0.0,-0.0010824904914549117,-0.00041216073494708893,0.00010383533697848508,-0.0013432078210165459,-0.0006951657056825109,-0.00017916963375693687,-0.0008488047184015659,-0.00022161610575848324,0.00029437996616709077,-0.0009418589538837766,-0.00032360060828245333,0.0001923954636431207,-0.0008564411358399301,-0.0002483218574453477,0.0002676742144802263,-0.0009426576839281097,-0.00026297719194579976,0.00025301887997977425,-0.0008142638187012116,-0.00015026899141783265,0.00036572708050774136
9,0.0,0.0,0.0,0.0,-0.0011019504108569238,-0.0003587973255691907,0.00022169825534708011,-0.0013299271406094194,-0.0006057087804604087,-2.5213199544137945e-05,-0.0008593245995307134,-0.0001583710893162629,0.00042212449160000795,-0.000997910737590093,-0.0003020598417338458,0.000278435739182425,-0.0008806106294026788,-0.0001130280080328345,0.0004674675728834363,-0.0011599278705104398,-0.00046365556998812353,0.00011684001092814725,-0.0008786563603387855,-0.000200421367700304,0.0003800742132159668
10,0.0,0.0,0.0,0.0,-0.000627327508196497,0.00019993563309035753,0.000844930722997325,-0.001181411854684155,-0.0004282099996718468,0.0002167850902351207,-0.0014601290708293674,-0.000655508994384173,-1.0513904477205507e-05,-0.0008003202811006333,6.374995227633015e-06,0.0006513700851346005,-0.0012045973815274014,-0.0004441752605001773,0.00020081982940679016,-0.000982807880435563,-0.0002064009193902019,0.0004385941705167656,-0.0010676931658826347,-0.0002712066722769821,0.0003737884176299854
