step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-4.2687640611835334e-05,1.4361129473766903e-05,6.126022324364633e-05,-0.00016149632735970118,-0.00010606225556331841,-5.9163161793438973e-05,0.00027608151551705153,0.0003364919296592407,0.00038339102342912015,-0.00014368077813109497,-8.85341142585046e-05,-4.1635020488625164e-05,-2.706185775894668e-05,3.2792587074590134e-05,7.969168084446957e-05,0.00011617536991572857,0.00017206394334026744,0.00021896303711014688,-0.00014916150988902047,-8.921432769653225e-05,-4.231523392665282e-05
2,0.0,0.0,0.0,0.0,-7.523728982315415e-05,4.409252047829167e-05,0.00013789070801805052,-5.7950943490796774e-05,6.21586490230569e-05,0.00015595683656281577,-0.00013389206841920868,-2.1533524347505453e-05,7.22646631922534e-05,3.973171568752448e-06,0.0001213939007041492,0.00021519208824390807,-0.00010234052629338753,1.9215107857185807e-05,0.00011301329539694467,-0.00037293012422792514,-0.00024905059380054634,-0.00015525240626078747,0.0002441646974375005,0.0003644414698985943,0.00045823965743835315
3,0.0,0.0,0.0,0.0,-0.0005828292613552852,-0.0004162309340857155,-0.0002755336527760772,-8.694363424912048e-05,9.794313803598085e-05,0.00023864041934561913,-3.8741187688528037e-05,0.00014531984749304046,0.00028601712880267876,-0.0002019143413893493,-2.823427817976302e-05,0.00011246300312987525,-0.00028236354998720497,-0.00010430074019944623,3.639654111019205e-05,-0.0004707139282532285,-0.0002962918330109701,-0.00015559455170133186,-0.00020029908235080318,-2.17608700350721e-05,0.00011893641127456618
4,0.0,0.0,0.0,0.0,-0.0004811257000247562,-0.00024669101068383874,-5.909463560432102e-05,-0.0004359180533907014,-0.00020645562724056643,-1.885925216104872e-05,-0.0003664221805713227,-0.000140799288918124,4.679708616139369e-05,-0.0006883735277931131,-0.0004683040910609637,-0.00028070771598144595,-0.00011995816547206731,0.00011317506044614891,0.0003007714355256666,-0.0003080571381132657,-6.30818102325673e-05,0.0001245145648469504,-0.0003255199179520557,-7.621437907785438e-05,0.00011138199600166333
5,0.0,0.0,0.0,0.0,5.421890677262582e-05,0.00035772964823873026,0.0005922251170881273,-0.00045456907011777356,-0.00017332419721328613,6.117127163611099e-05,-0.0002682948676031757,1.236518588419849e-05,0.0002468606547335956,-0.00042735321897177105,-0.00015299700858351211,8.1498460265885e-05,-0.000264737093683306,1.2726196092400225e-05,0.0002472216649417973,-0.0007158928632043709,-0.00042322303255880984,-0.00018872756370941275,-0.00017078978693058758,0.00012248644545331713,0.00035698191430271424
6,0.0,0.0,0.0,0.0,-0.00020215997531796662,0.0001613266013148309,0.0004427211639341075,-0.0006463715325595046,-0.0002891283723494737,-7.733809730197175e-06,-0.0005295550748262774,-0.00015601496389707758,0.00012537959872219897,-0.0006783190023040709,-0.0003177105975997927,-3.631603498051612e-05,-0.00040009113346906185,-6.982716224493315e-05,0.0002115674003743434,-0.0005677845704067275,-0.00019600762497384058,8.538693764543597e-05,-0.0002912615412432592,3.763388180454857e-05,0.0003190284444238251
7,0.0,0.0,0.0,0.0,-0.0006995142219799573,-0.00031596845054416406,1.2325205844991946e-05,-0.0007343161273973987,-0.00034526803153904826,-1.6974375149892275e-05,-0.0003716496243810434,6.508398688715982e-05,0.00039337764327631577,-0.0007317941941824632,-0.0003313638614232273,-3.070205034071301e-06,-0.0007019970271132903,-0.00029767081792686945,3.0622838462286505e-05,-0.0007430759693694652,-0.0003314241332554157,-3.1304768662596745e-06,-0.0005457710906464925,-0.00015466594569575276,0.00017362771069340323
8,0.0,0.0,0.0,0.0,-0.0007934445130206943,-0.0003281739541940188,4.701879596501665e-05,-0.0008279059230637449,-0.00035182836492968965,2.3364385229345766e-05,-0.0007347964575953867,-0.0002401902972950096,0.00013500245286402583,-0.0004473574536828805,-5.915990060967807e-06,0.0003692767600980676,-0.00016906098188475402,0.0003038709293889671,0.0006790636795480025,-0.0007205916002893648,-0.0002788631538659213,9.632959629311411e-05,-0.0008633245487355588,-0.0003970399937983343,-2.1847243639298836e-05
9,0.0,0.0,0.0,0.0,-0.0009580632522223273,-0.00040207487590939464,2.0016968019520207e-05,-0.0011530053714828403,-0.0006047252724120306,-0.00018263342848311574,-0.0008038409793194992,-0.0002426954450187705,0.00017939639891014435,-0.00037386072933406314,0.0001246378857879745,0.0005467297297168894,-0.0007379940454224815,-0.00020188435480858227,0.00022020748912033258,-0.0007435768719930194,-0.00021971843999680794,0.00020237340393210691,-0.0006165005669585644,-6.609062325623881e-05,0.00035600122067267604
10,0.0,0.0,0.0,0.0,-0.000977144903179027,-0.0003680467448019437,0.00010094419289685051,-0.0009642351534961134,-0.0003409085344051193,0.00012808240329367494,-0.0009689623485689893,-0.00035281044542764036,0.0001161804922711539,-0.000699242880294833,-9.630507992826887e-05,0.0003726858577705254,-0.000986209285498733,-0.0003961646443612634,7.282629333753082e-05,-0.0008787878259315379,-0.0003233868339905059,0.00014560410370828835,-0.00086227956363298,-0.0002442401777745378,0.00022475075992425638
