step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-0.00010173327211044757,0.00025874750442167184,0.0005576201441324011,-0.0004435000142490482,-6.581655051020888e-05,0.00023305608920052044,-0.0006102258899330224,-0.00023996617827745382,5.890646143327548e-05,-0.0009100752238610174,-0.0005534335456848149,-0.00025456090597408555,-0.0006768259242153972,-0.00032247893511035304,-2.3606295399623698e-05,-0.00047870366060973974,-0.0001042789972097803,0.00019459364250094902,-0.0005836082228188526,-0.00020569380348563475,9.317883622509458e-05
2,0.0,0.0,0.0,0.0,-0.0013025396155173878,-0.0005099027499517536,8.784252946970504e-05,-0.0009644640599200634,-0.00020248356200937214,0.0003952617174120865,-0.0008338524660956327,-0.0001073208991187765,0.0004904243803026821,-0.0010883704333447546,-0.0002940207266953964,0.00030372455272606225,-0.0009185016362516423,-0.0001898515351732004,0.00040789374424825823,-0.0010911063247906736,-0.0003354404346302763,0.0002623048447911823,-0.0006862616392497808,8.814496710904125e-05,0.0006858902465304999
3,0.0,0.0,0.0,0.0,-0.0016487211965304398,-0.000497020695381915,0.0003995972237502731,-0.0017703578865264087,-0.0006256009481982115,0.00027101697093397656,-0.0013488172907269091,-0.00027180116607479726,0.0006248167530573908,-0.0015206162528817232,-0.0004300056189096236,0.00046661230022256446,-0.002167913311180213,-0.0010139414209348466,-0.00011732350180265858,-0.0018103073909031,-0.0006402379115277223,0.0002563800076044657,-0.00154110900264136,-0.0003930198076618941,0.000503598111470294
4,0.0,0.0,0.0,0.0,-0.0021668302326855356,-0.0006866987705580154,0.0005087917882849018,-0.00216229509251457,-0.0005925203127146519,0.0006029702461282653,-0.001880679635641982,-0.0003166256462178401,0.0008788649126250771,-0.00204929740244988,-0.0005589821501685346,0.0006365084086743827,-0.0021727492249579237,-0.0006388498894026171,0.0005566406694403001,-0.0020492457073692594,-0.000480933617216409,0.0007145569416265082,-0.0021473897493983958,-0.0006407110616468298,0.0005547794971960875
5,0.0,0.0,0.0,0.0,-0.0025974261146706275,-0.0007013508182341707,0.0007930123803194757,-0.002397482887922458,-0.0006091566452442608,0.0008852065533093856,-0.003005725925284387,-0.0010749530280549208,0.00041941017049872554,-0.0029128298590755386,-0.0009400015319850713,0.0005543616665685751,-0.003109364673311042,-0.001154015053965509,0.0003403481445881376,-0.002588872781431911,-0.0006052656017284097,0.0008890975968252367,-0.0031182251942052765,-0.0011787826753020649,0.0003155805232515816
6,0.0,0.0,0.0,0.0,-0.0029392895228055466,-0.0008310139006236727,0.0009622219376407034,-0.0026959710754973984,-0.0005784898728675592,0.0012147459653968169,-0.0029817389999050596,-0.0008257115298748028,0.0009675243083895733,-0.0027454174038652065,-0.000615425330505211,0.001177810507759165,-0.00321047498747199,-0.0009710680319323112,0.0008221678063320649,-0.0029408425507713616,-0.0005602528101188519,0.001232983028145524,-0.0029018788929490746,-0.0007459051516303157,0.0010473306866340603
7,0.0,0.0,0.0,0.0,-0.003663159297489913,-0.0009762089233629468,0.0011158995546121586,-0.0038839609470796167,-0.0012061024843935731,0.0008860059935815323,-0.0034184524899309554,-0.0007720397707208103,0.001320068707254295,-0.0038394359169015273,-0.0011653281413417105,0.0009267803366333949,-0.003635352139140416,-0.0010011304339177338,0.0010909780440573715,-0.003909331155113882,-0.0012958736408066611,0.0007962348371684441,-0.0036553594562313413,-0.0010469370855119462,0.001045171392463159
8,0.0,0.0,0.0,0.0,-0.004142035250768358,-0.0010440789469836123,0.0013469021707022222,-0.004056210363389135,-0.0012589216876463883,0.0011320594300394463,-0.004115420048988786,-0.0012441575759913523,0.0011468235416944822,-0.0042987526203243,-0.0013543800266202937,0.0010366010910655408,-0.004369539344635592,-0.001217646586065236,0.0011733345316205985,-0.004079057080387231,-0.001150562854113042,0.0012404182635727926,-0.0038768211446204496,-0.0008957596072158207,0.0014952215104700138
9,0.0,0.0,0.0,0.0,-0.00513610212478147,-0.0017528276462172104,0.0009370261111793534,-0.004857174724066557,-0.0014666490018808678,0.0012232047555156959,-0.005363506538738551,-0.0018007321765093473,0.0008891215808872165,-0.004603237643297363,-0.001131530216519219,0.0015583235408773448,-0.005046474981836537,-0.0015406365844225643,0.0011492171729739994,-0.0046904987678386394,-0.001336267698641653,0.0013535860587549108,-0.004190849765139943,-0.0009353496676268153,0.0017545040897697485
10,0.0,0.0,0.0,0.0,-0.004986055824875345,-0.0013408626867729226,0.0016478637103343704,-0.004919339348086311,-0.0011423779417719957,0.0018463484553352973,-0.0049278781239640666,-0.0012206531083787506,0.0017680732887285424,-0.005371657256589883,-0.0015328113408588366,0.0014559150562484563,-0.004764382806050193,-0.001193373717751985,0.001795352679355308,-0.005243776206586247,-0.0015553920837091497,0.0014333343133981432,-0.005050080614395749,-0.001397430222912306,0.0015912961741949869
11,0.0,0.0,0.0,0.0,-0.006176038522603577,-0.0018299172936514423,0.0014576817431665799,-0.00506728673418696,-0.001151173111987966,0.0021364259248300562,-0.005776651140147853,-0.001754972674567722,0.0015326263622503001,-0.006040199494199811,-0.0019108017099208877,0.0013767973268971345,-0.005378221030617992,-0.0014736389118533005,0.0018139601249647216,-0.0057789221568924735,-0.0015772843206737694,0.0017103147161442527,-0.005999426004286952,-0.001616068549199567,0.0016715304876184552
12,0.0,0.0,0.0,0.0,-0.006351818275987689,-0.0018464341416171571,0.001740037534911595,-0.005986855170512474,-0.0017709399767463865,0.0018155316997823657,-0.006176693431121219,-0.0018885217870363395,0.0016979498894924127,-0.006604616653901345,-0.0018599351731040643,0.0017265365034246879,-0.0060641285314042125,-0.0018745519083954957,0.0017119197681332566,-0.006063192984996097,-0.0016304921663767525,0.0019559795101519997,-0.005779937592771996,-0.0014541943264724496,0.0021322773500563027
13,0.0,0.0,0.0,0.0,-0.006566662158281765,-0.0017713003692151196,0.002114043947024362,-0.006904444087491611,-0.0019157337943561646,0.001969610521883317,-0.006499737484649005,-0.0017260215269814718,0.0021593227892580096,-0.006765222880563082,-0.0019116508199040901,0.001973693496335391,-0.006866502928217912,-0.001999267003562968,0.0018860773126765135,-0.006603023425850042,-0.0017828019203409234,0.002102542395898558,-0.006409209331716064,-0.0015104909063794914,0.0023748534098599903
14,0.0,0.0,0.0,0.0,-0.006539380730769548,-0.0016569934134510265,0.002527223542499184,-0.007586624752493287,-0.002168726188027367,0.002015490767922844,-0.007217989018656767,-0.0019451931774538671,0.0022390237784963435,-0.007508950751404673,-0.002016168128580616,0.002168048827369595,-0.007032179076882244,-0.0017689721258598167,0.002415244830090394,-0.007229173510316743,-0.0018828761236293614,0.002301340832320849,-0.007632665455335249,-0.00228423531659659,0.0018999816393536208
15,0.0,0.0,0.0,0.0,-0.008297071247268037,-0.0024795819701989193,0.0020035076254620206,-0.007285744199606479,-0.002035292638614737,0.002447796957046203,-0.007987799881102877,-0.002116679775393495,0.002366409820267445,-0.007898601480704402,-0.0021875395083946997,0.00229555008726624,-0.00779325195293639,-0.002296557091422525,0.002186532504238415,-0.007377982443298736,-0.002089597011456853,0.0023934925842040867,-0.007996028403551975,-0.0021110095105537044,0.0023720800851072354
16,0.0,0.0,0.0,0.0,-0.007852714967146108,-0.0021656248275237476,0.0026163374078479215,-0.008847106883193076,-0.002555621149277368,0.002226341086094301,-0.00829746015328958,-0.0025030283448274596,0.0022789338905442095,-0.008487183352525159,-0.0023826069603134345,0.0023993552750582346,-0.00839596406914718,-0.0024287415726805977,0.0023532206626910713,-0.00858221469829087,-0.0024288078745043967,0.0023531543608672724,-0.008647682824828083,-0.0024224475367308805,0.0023595146986407885
17,0.0,0.0,0.0,0.0,-0.00861304254410292,-0.0023163646994717947,0.0027644701756106035,-0.009095483665847946,-0.0029306225936454504,0.002150212281436948,-0.00867296845653317,-0.0025656902219745505,0.0025151446531078477,-0.00850402618815782,-0.0024340868090113993,0.002646748066070999,-0.009585317730707232,-0.00289393725667852,0.002186897618403878,-0.00861175669770878,-0.002570068061201218,0.00251076681388118,-0.009065509998192682,-0.002786664037287752,0.002294170837794646
18,0.0,0.0,0.0,0.0,-0.009480883787328007,-0.0025427623397567853,0.002836945175036342,-0.00967054716439593,-0.002821624871193199,0.0025580826435999283,-0.009395980482161946,-0.002803038822799037,0.0025766686919940903,-0.009442232093275204,-0.0026481793341649146,0.002731528180628213,-0.009582551076547319,-0.00284747554292152,0.0025322319718716073,-0.00889651624491548,-0.002230697995744842,0.0031490095190482856,-0.009108849346991178,-0.0026643584735486026,0.002715349041244525
19,0.0,0.0,0.0,0.0,-0.010278822403879678,-0.0028473152645045368,0.00283126488999932,-0.009794404726004954,-0.0029455950666569604,0.0027329850878468963,-0.009619958074909054,-0.002807202483455214,0.0028713776710486425,-0.010158750009701976,-0.0030746186689358758,0.002603961485567981,-0.010319510590464,-0.0028635955786846207,0.002814984575819236,-0.010415884917471098,-0.0030262853296256784,0.0026522948248781783,-0.010213413732653744,-0.0027264421906183223,0.0029521379638855344
20,0.0,0.0,0.0,0.0,-0.010370692853541382,-0.002838075458956546,0.0031393773352580397,-0.010319160589273652,-0.0028458286146693735,0.0031316241795452124,-0.010700599052957161,-0.0028214211992183902,0.0031560315949961957,-0.01064339944718669,-0.0030088414504155832,0.0029686113437990026,-0.009840709731147246,-0.002731586918201479,0.003245865876013107,-0.010825636427500647,-0.0030599674165934575,0.0029174853776211284,-0.010100562675349922,-0.002608582049540776,0.00336887074467381
21,0.0,0.0,0.0,0.0,-0.011012373736036443,-0.003156624641385854,0.003119700792539461,-0.010997073070658394,-0.00289355923533006,0.003382766198595255,-0.010609691413758148,-0.0030649936428131653,0.0032113317911121497,-0.011139007388489098,-0.0033008393511429705,0.0029754860827823446,-0.011166811232459167,-0.0030311009152686,0.003245224518656715,-0.011187408343616208,-0.0030973347530871133,0.003178990680838202,-0.010813545707310523,-0.0032512769241997523,0.0030250485097255628
22,0.0,0.0,0.0,0.0,-0.012226209821426765,-0.003466359846465683,0.003108838227170361,-0.011732125555334675,-0.0033039137544560774,0.003271284319179967,-0.01120347651713094,-0.0032788196322881273,0.003296378441347917,-0.01151071487132333,-0.003402129299014922,0.0031730687746211223,-0.011694693611191527,-0.003517788978609641,0.0030574090950264035,-0.01191775914297328,-0.003214361866073437,0.003360836207562607,-0.012332353658149858,-0.0036267644810141506,0.0029484335926218937
23,0.0,0.0,0.0,0.0,-0.012359556483375679,-0.0032648878420014423,0.003609182871345333,-0.012102837280238674,-0.003250080842383015,0.00362398987096376,-0.011962715774481688,-0.003430532276574284,0.0034435384367724913,-0.012436955940402387,-0.003697348375801349,0.0031767223375454264,-0.011456347336691921,-0.00326082422127174,0.0036132464920750353,-0.012050425006177017,-0.0033275839186357424,0.003546486794711033,-0.012354096623056945,-0.0033769508048438006,0.0034971199085029746
24,0.0,0.0,0.0,0.0,-0.012314212277148835,-0.003651593657238169,0.0035213496958193353,-0.013047516142562233,-0.0039009142759736876,0.003272029077083817,-0.012468668133938408,-0.0038079915446343096,0.003364951808423195,-0.012129720610896623,-0.003452262183935675,0.0037206811691218294,-0.01208033382985083,-0.0030036464989242426,0.004169296854133262,-0.012919554943495186,-0.003713109199564662,0.0034598341534928423,-0.01227116446539922,-0.0035151108989407553,0.003657832454116749
25,0.0,0.0,0.0,0.0,-0.012534547766257967,-0.003515389002967129,0.003956426989801105,-0.013975014611892768,-0.004347584246856438,0.0031242317459117953,-0.013005149111230381,-0.0038593598201076716,0.003612456172660562,-0.013776557951973316,-0.003865842437727497,0.0036059735550407366,-0.012232085529632196,-0.0034262156631957265,0.004045600329572507,-0.01302962550774369,-0.0036952292580836057,0.003776586734684628,-0.013219108195697663,-0.003713008527701939,0.003758807465066295
26,0.0,0.0,0.0,0.0,-0.01302112462934827,-0.003864859628791767,0.003905829003687196,-0.014353316890452902,-0.004046706748175441,0.0037239818843035222,-0.013443871254201139,-0.003769929232851587,0.004000759399627376,-0.013779312885564388,-0.0039526494222251836,0.003818039210253779,-0.013496388150180337,-0.003738206911638149,0.004032481720840814,-0.013548888816052478,-0.003827521082962806,0.003943167549516157,-0.012949544171643299,-0.0036516655239743605,0.004119023108504602
27,0.0,0.0,0.0,0.0,-0.013633408424232602,-0.004053236541866479,0.004016324730323213,-0.014595959835487523,-0.004212803415350732,0.00385675785683896,-0.013745498670284089,-0.004171081819023718,0.0038984794531659738,-0.01475977873975366,-0.004278362072491846,0.0037911991996978462,-0.013489448317010114,-0.003999182603420494,0.004070378668769198,-0.014367713514722491,-0.003901290561276982,0.004168270710912711,-0.013557192681507766,-0.00388397396020841,0.004185587311981282
28,0.0,0.0,0.0,0.0,-0.01469834781516327,-0.003836615204403109,0.004531818707497312,-0.014710515015956478,-0.00420759485934545,0.004160839052554971,-0.015360324506009847,-0.004233182430287854,0.004135251481612567,-0.014118384849209655,-0.0042380102943698865,0.004130423617530535,-0.0146618966885572,-0.004068081721437892,0.004300352190462529,-0.014660802698119141,-0.004021396110271976,0.004347037801628446,-0.014739584857513793,-0.004566084944381521,0.0038023489675189006
