step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-0.0004091414428694254,-0.00023306038010790714,-8.807439428524353e-05,-0.0005917009860333698,-0.0004037620783197784,-0.00025877609249711484,-3.507225336131888e-05,0.0001561976116270861,0.0003011835974497497,-0.0001777347585714275,1.3604156199530036e-05,0.00015859014202219366,-0.0003310795261875122,-0.00015136340400311054,-6.377418180446919e-06,-0.0006497282027851493,-0.00047900347840267683,-0.0003340174925800133,-0.0002712411684570253,-8.201944034979859e-05,6.296654547286502e-05
2,0.0,0.0,0.0,0.0,-0.0003559621138992632,2.0257664012259598e-05,0.0003102296356575868,-0.0006488606652747177,-0.0002764721975238849,1.3499774121442364e-05,-0.0006203438253167637,-0.000246243808718421,4.372816292690623e-05,-0.0006007804473717644,-0.000224658242000646,6.531372964468121e-05,-0.0008354842894447499,-0.0004495200664172985,-0.00015954809477197127,-0.0005462066736845088,-0.0001637911516893844,0.0001261808199559428,-0.0003479151847479358,1.718354096682536e-05,0.0003071555126121526
3,0.0,0.0,0.0,0.0,-0.0005779133267505439,-6.395752358331441e-05,0.0003710004338846764,-0.0006598079023507725,-0.00010843062443493306,0.0003265273330330578,-0.0011498201916075915,-0.0005848926005176898,-0.00014993464304969897,-0.0010222257545600727,-0.0005102618618338183,-7.530390436582746e-05,-0.0007903906243240101,-0.0002131447553341269,0.00022181320213386394,-0.0007230599084704752,-0.00019921841364835028,0.00023573954381964055,-0.0007644977618531828,-0.00021185311084737107,0.00022310484662061976
4,0.0,0.0,0.0,0.0,-0.0010108013979364646,-0.0003265981391660337,0.0002533458041246207,-0.0012342829713808572,-0.0004839522974537084,9.599164583694601e-05,-0.0011348214243343468,-0.0004399198308388517,0.00014002411245180277,-0.0012597671935733374,-0.0005256848572008192,5.4259086089835154e-05,-0.001044124757308269,-0.00035115043414100716,0.00022879350914964725,-0.001085211841448438,-0.000343591584520058,0.00023635235877059649,-0.0011491770117994552,-0.00045135204924467667,0.00012859189404597777
5,0.0,0.0,0.0,0.0,-0.0010225578691619552,-0.00016779242032347895,0.000557137508789839,-0.0012481616726151955,-0.0003807305123181577,0.0003441994167951603,-0.001208544629580889,-0.00029754095927301015,0.00042738896984030784,-0.0015728556565530979,-0.0006555140722495634,6.941585686375462e-05,-0.0012093098814243892,-0.00032454428499982963,0.00040038564411348836,-0.0013887866794593242,-0.0005412630618715509,0.0001836668672417671,-0.001208457785536988,-0.0003561016186249887,0.0003688283104883293
6,0.0,0.0,0.0,0.0,-0.0015798881928415377,-0.00043383374252850375,0.0004360821724074779,-0.0018865240034880515,-0.0007569481985384126,0.00011296771639756909,-0.0017340875513899203,-0.0006362694843210261,0.00023364643061495556,-0.001448608058493098,-0.00034335814292920573,0.0005265577720067759,-0.0015641365100135067,-0.0004685436897457008,0.00040137222519028086,-0.001316433252172469,-0.0002519423614055893,0.0006179735535303924,-0.0013962650784799825,-0.00032237336675019546,0.0005475425481857862
7,0.0,0.0,0.0,0.0,-0.0018606878138643802,-0.0005946360182379247,0.0004202658825207204,-0.002032478258780862,-0.0007311946028041017,0.00028370729795454343,-0.0017328456578095427,-0.00041649148554370166,0.0005984104152149434,-0.0017817456582246711,-0.0005416994875897563,0.0004732024131688888,-0.0015454162450742948,-0.00021838197061628214,0.000796519930142363,-0.001513008751963078,-0.00030712184298488696,0.0007077800577737581,-0.0020663266676882227,-0.0007404100610365105,0.00027449183972213457
8,0.0,0.0,0.0,0.0,-0.0021669004842356002,-0.0007714483252788927,0.0003884395613024162,-0.0020583515061107175,-0.0006053651344610027,0.0005545227521203061,-0.002004797102050855,-0.0006137745811139172,0.0005461133054673917,-0.0021471975917834855,-0.0006815595840139252,0.00047832830256738367,-0.0019260947798667744,-0.000472938264051817,0.0006869496225294919,-0.0021230159205235756,-0.0006939583243066688,0.0004659295622746401,-0.0020437637287302,-0.000580593317902633,0.0005792945686786758
9,0.0,0.0,0.0,0.0,-0.0021431624616423985,-0.0004652138362664012,0.0008396600361375712,-0.002031823504401239,-0.0003466174650752267,0.0009582564073287457,-0.0020791030223938443,-0.00034426979088948066,0.0009606040815144918,-0.002381825156497066,-0.0006522833734976132,0.0006525904989063592,-0.0022814624838460758,-0.0006539828617235841,0.0006508910106803883,-0.0020605369970535395,-0.00040578295124638595,0.0008990909211575865,-0.0025470617484317244,-0.0009444752005695516,0.0003603986718344208
10,0.0,0.0,0.0,0.0,-0.0027462086992490024,-0.0008979191113901892,0.0005519407468364467,-0.002439036414951527,-0.0005629575892589628,0.0008869022689676732,-0.0023933127465084296,-0.0006696302903371254,0.0007802295678895106,-0.0025693169375180704,-0.0006821010106233626,0.0007677588476032734,-0.0022380521472372852,-0.0005380862972474283,0.0009117735609792077,-0.0023691127952791225,-0.0005414361904456276,0.0009084236677810083,-0.0026456797012513957,-0.0008777953704717894,0.0005720644877548466
