step_pair,L_xmin,L_xmax,R_xmin,R_xmax,crown_2590_z,wall_L_2590_y,wall_R_2590_y,crown_2608_z,wall_L_2608_y,wall_R_2608_y,crown_2616_z,wall_L_2616_y,wall_R_2616_y,crown_2878_z,wall_L_2878_y,wall_R_2878_y,crown_2896_z,wall_L_2896_y,wall_R_2896_y,crown_2926_z,wall_L_2926_y,wall_R_2926_y,crown_2948_z,wall_L_2948_y,wall_R_2948_y
1,0.0,0.0,0.0,0.0,-0.00011663846920402579,-3.193224040136869e-05,3.242430174436172e-05,-0.0001645040673176861,-8.700584214530873e-05,-2.2649299999578313e-05,-0.00020756487379809397,-0.0001231124281072097,-5.875588596147931e-05,-0.00010404075327655002,-2.014955055337751e-05,4.42069915923529e-05,-0.00021072131987217451,-0.00013061957478313114,-6.626303263740073e-05,-1.2278911812446748e-05,6.579013896417444e-05,0.00013014668110990484,-9.095198244957141e-05,-1.1095421273285493e-05,5.3261120872444924e-05
2,0.0,0.0,0.0,0.0,-0.0002322458968672002,-7.020690663838511e-05,5.8506177653075714e-05,-0.0005003690433465163,-0.0003331994516027468,-0.000204486367311286,-0.0006159817069208493,-0.0004446010901058993,-0.0003158880058144384,-0.0005863057122138564,-0.00043270354970407685,-0.0003039904654126161,-0.00046895375533695366,-0.000317845838434471,-0.00018913275414301022,-0.0001942170778483097,-3.300632482088538e-05,9.570675947057544e-05,-0.000737548998133268,-0.0005677084843098331,-0.00043899540001837223
3,0.0,0.0,0.0,0.0,-0.00034802631680448925,-0.00010623500229881003,8.683462413838124e-05,-0.0006357744660853054,-0.0004025619663196744,-0.0002094923398824831,-0.000298616492931404,-6.717742707718774e-05,0.00012589219936000353,-0.0004900053361572651,-0.0002583022611037155,-6.523263466652422e-05,-0.0004834098072480349,-0.000258041748284975,-6.497212184778368e-05,-0.00014987502778862014,8.034316025803915e-05,0.00027341278669523045,-0.00037245066733043855,-0.00011887520313542756,7.41944233017637e-05
4,0.0,0.0,0.0,0.0,-0.0004526336998098644,-0.00011595672944044843,0.00014146943914247322,-0.0004456407770537157,-0.00011348503821605921,0.00014394113036686246,-0.0007616899800287777,-0.0004381420199171573,-0.00018071585133423566,-0.0004425570687117998,-0.00010484227915214458,0.00015258388943077708,-5.462501045780182e-05,0.00027137022497702377,0.0005287963935599455,-0.0006855324896227195,-0.0003685708647125055,-0.00011114469612958386,-0.0003201499210336323,-1.337516755742376e-05,0.0002440510010254979
5,0.0,0.0,0.0,0.0,-0.0004200723340515571,-2.430930192528485e-05,0.00029747340880336727,-0.00043449652676161136,-2.744184319746046e-05,0.00029434086753119166,-0.0007056530129491641,-0.00029602380556545665,2.5758905163195475e-05,-0.0006370528627810035,-0.0002535528706720091,6.822984005664301e-05,-0.0007865913469561813,-0.000398330260934354,-7.654755020570193e-05,-0.0005807299966893053,-0.0002001305499252254,0.0001216521608034267,-0.0003187908800499236,6.815304612650035e-05,0.00038993575685515244
6,0.0,0.0,0.0,0.0,-0.0008218278922898458,-0.0003519980996346012,3.414115323978136e-05,-0.0010846672290096056,-0.0005915535832720902,-0.00020541433039770763,-0.0007174088677389598,-0.00021252701157120906,0.00017361224130317348,-0.0005638576002189176,-5.5188846323040146e-05,0.0003309504065513424,-0.0007266418999220272,-0.0002667848052571831,0.00011935444761719945,-0.000398576342673596,0.00011163625365404078,0.0004977755065284234,-0.0007159212336061945,-0.0002538057041101371,0.00013233354876424538
7,0.0,0.0,0.0,0.0,-0.0008231513066185812,-0.0002494019865273475,0.00020109380849276545,-0.0010018924349793573,-0.0004480613261402677,2.4344688798452123e-06,-0.0008575240501727136,-0.0003139641421049403,0.00013653165291517262,-0.0006859974392550824,-9.46301969698237e-05,0.0003558655980502892,-0.0006582680127885178,-9.157169285658768e-05,0.00035892410216352525,-0.0005968125061962103,-1.4822625824667074e-05,0.0004356731691954459,-0.0006620945042406119,-0.00010857142667397369,0.00034192436834613925
8,0.0,0.0,0.0,0.0,-0.0007992964331739652,-0.00018809015880723572,0.0003267621783586076,-0.0013215946257904322,-0.0006644919575709081,-0.00014963962040506485,-0.001083014219900325,-0.0004374116901026407,7.74406470632026e-05,-0.00043867218104258205,0.00019152515671428825,0.0007063774938801316,-0.0010415420288147916,-0.00038221488587170284,0.00013263745129414047,-0.0008040277484925532,-0.00015882351030045038,0.00035602882686539293,-0.0009772888104455277,-0.00029861223463356493,0.00021624010253227835
9,0.0,0.0,0.0,0.0,-0.0009514740714701893,-0.0001856229122490072,0.00039358596706256653,-0.0010538729385767382,-0.00030544070337895526,0.0002737681759326185,-0.0011894475487664597,-0.000500501364065609,7.870751524596478e-05,-0.0012156400401428043,-0.00046119573509109565,0.0001180131442204781,-0.0009874674064172088,-0.0002510552571347724,0.00032815362217680137,-0.0011330765078054234,-0.0004078101102270417,0.00017139876908453208,-0.00138675513937784,-0.0006891536982371978,-0.0001099448189256241
10,0.0,0.0,0.0,0.0,-0.0010389904007533299,-0.0002492147508909012,0.000394350670566403,-0.0009404061941180315,-0.0001524610064324194,0.0004911044150248848,-0.0009827575205700971,-0.00017043501019579858,0.00047313041126150564,-0.0009459347949575603,-0.00016598449386015984,0.00047758092759714435,-0.00142765115820716,-0.0006291496987869498,1.441572267035432e-05,-0.0008395630319600133,-3.344127962412978e-05,0.0006101241418331744,-0.001223556036863111,-0.0003765659651631162,0.000266999456294188
