step,phase,cycle,excav_xmin,excav_xmax,ratio_target,ratio_avg,converged,plastic_thick_max_m,plastic_nzone,contour_ngp,crown_gp_id,crown_x,crown_y,crown_z,crown_ux,crown_uy,crown_uz,wallL_gp_id,wallL_x,wallL_y,wallL_z,wallL_ux,wallL_uy,wallL_uz,wallR_gp_id,wallR_x,wallR_y,wallR_z,wallR_ux,wallR_uy,wallR_uz,n_lined
20,cycle,200,2894,2896,1e-05,0.000132268,-1,0,0,0,128220,2896,4800,220,-0.026614,0.00305382,-0.0225151,69034,2896,4797,217,-0.0241161,0.0282918,-0.00319944,121554,2896,4803,217,-0.0228964,-0.02639,-0.00177343,0
20,cycle,300,2894,2896,1e-05,0.000146263,-1,0,0,0,128220,2896,4800,220,-0.0308101,0.00315719,-0.027593,69034,2896,4797,217,-0.0263619,0.0328303,-0.00327301,121554,2896,4803,217,-0.0260506,-0.0318541,-0.00211537,0
20,cycle,400,2894,2896,1e-05,0.000126669,-1,0,0,0,128220,2896,4800,220,-0.033185,0.00325167,-0.0325684,69034,2896,4797,217,-0.0279996,0.0363777,-0.00342071,121554,2896,4803,217,-0.0282741,-0.0358996,-0.00218437,0
20,cycle,500,2894,2896,1e-05,0.000103915,-1,0,0,0,128220,2896,4800,220,-0.0345345,0.00327792,-0.0347165,69034,2896,4797,217,-0.0285878,0.0378658,-0.00358007,121554,2896,4803,217,-0.0290493,-0.0378335,-0.00229959,0
20,cycle,1000,2894,2896,1e-05,3.15282e-05,-1,0,0,0,128220,2896,4800,220,-0.0350788,0.00331851,-0.0350665,69034,2896,4797,217,-0.0290035,0.0381674,-0.00357738,121554,2896,4803,217,-0.029387,-0.0380961,-0.00231126,0
20,conv_1e-5,3000,2894,2896,1e-05,3.29007e-06,1,5.00625,1364,184,128220,2896,4800,220,-0.0353926,0.00339929,-0.0351247,69034,2896,4797,217,-0.0292917,0.0383054,-0.00352423,121554,2896,4803,217,-0.0295555,-0.0382032,-0.00219374,0
21,conv_1e-5,2500,2896,2898,1e-05,5.35657e-06,1,5.00625,1363,184,128220,2896,4800,220,-0.0417802,0.00274326,-0.0696037,69034,2896,4797,217,-0.0339848,0.0653997,-0.00601537,121554,2896,4803,217,-0.0348212,-0.0700841,-0.00526278,0
22,conv_1e-5,2500,2898,2900,1e-05,5.29332e-06,1,5.00625,1360,184,128220,2896,4800,220,-0.0476715,0.00207994,-0.0931149,69034,2896,4797,217,-0.038413,0.0844135,-0.00781351,121554,2896,4803,217,-0.0396442,-0.0917659,-0.00752801,0
23,conv_1e-5,2000,2900,2902,1e-05,9.76265e-06,1,5.00625,1359,184,128220,2896,4800,220,-0.0523043,0.00174704,-0.109794,69034,2896,4797,217,-0.0420133,0.0979526,-0.00913312,121554,2896,4803,217,-0.0431305,-0.106513,-0.00927835,0
24,conv_1e-5,2500,2902,2904,1e-05,5.43051e-06,1,5.00625,1357,184,128220,2896,4800,220,-0.0557811,0.00173443,-0.122701,69034,2896,4797,217,-0.0448429,0.108135,-0.0102302,121554,2896,4803,217,-0.0454563,-0.117414,-0.0106246,0
25,conv_1e-5,2000,2904,2906,1e-05,9.71196e-06,1,5.00625,1355,184,128220,2896,4800,220,-0.0585645,0.00149534,-0.131553,69034,2896,4797,217,-0.0469657,0.115151,-0.0109796,121554,2896,4803,217,-0.0471935,-0.124823,-0.0115084,0
26,conv_1e-5,2500,2906,2908,1e-05,5.12773e-06,1,5.00625,1356,184,128220,2896,4800,220,-0.0608306,0.00102195,-0.138924,69034,2896,4797,217,-0.0486212,0.120526,-0.011565,121554,2896,4803,217,-0.0484031,-0.130659,-0.0121283,0
27,conv_1e-5,2000,2908,2910,1e-05,9.75715e-06,1,5.00625,1355,184,128220,2896,4800,220,-0.0626318,0.000781562,-0.144143,69034,2896,4797,217,-0.0498394,0.124049,-0.0118963,121554,2896,4803,217,-0.0493158,-0.134404,-0.0124547,0
28,conv_1e-5,2000,2910,2912,1e-05,9.5824e-06,1,5.00625,1352,184,128220,2896,4800,220,-0.0640463,0.000623348,-0.14791,69034,2896,4797,217,-0.0507162,0.12654,-0.0120562,121554,2896,4803,217,-0.0499305,-0.137229,-0.0126301,0
29,conv_1e-5,2000,2912,2914,1e-05,9.18352e-06,1,5.00625,1350,184,128220,2896,4800,220,-0.065106,0.000454282,-0.150432,69034,2896,4797,217,-0.0513179,0.12823,-0.0121416,121554,2896,4803,217,-0.0503279,-0.139207,-0.0127073,0
30,conv_1e-5,2000,2914,2916,1e-05,9.07675e-06,1,5.00625,1347,184,128220,2896,4800,220,-0.0658873,0.000349584,-0.152006,69034,2896,4797,217,-0.0517046,0.129358,-0.0121817,121554,2896,4803,217,-0.0505347,-0.140492,-0.0127199,0
31,conv_1e-5,2000,2916,2918,1e-05,8.94758e-06,1,5.00625,1345,184,128220,2896,4800,220,-0.0664181,0.000278777,-0.153003,69034,2896,4797,217,-0.0518986,0.130072,-0.012197,121554,2896,4803,217,-0.0505974,-0.141403,-0.0127048,0
32,conv_1e-5,2000,2918,2920,1e-05,9.22026e-06,1,5.00625,1342,184,128220,2896,4800,220,-0.0667237,0.000243009,-0.153629,69034,2896,4797,217,-0.0519463,0.130507,-0.0121882,121554,2896,4803,217,-0.0505528,-0.142014,-0.0126589,0
33,conv_1e-5,2000,2920,2922,1e-05,8.97405e-06,1,5.00625,1342,184,128220,2896,4800,220,-0.0668224,0.000218681,-0.153969,69034,2896,4797,217,-0.0518773,0.130758,-0.0121729,121554,2896,4803,217,-0.0504208,-0.142401,-0.0125978,0
34,conv_1e-5,2000,2922,2924,1e-05,8.30126e-06,1,5.00625,1339,184,128220,2896,4800,220,-0.0667673,0.00020455,-0.15412,69034,2896,4797,217,-0.051734,0.130874,-0.0121458,121554,2896,4803,217,-0.0502222,-0.142622,-0.0125375,0
35,conv_1e-5,2000,2924,2926,1e-05,7.97421e-06,1,5.00625,1337,184,128220,2896,4800,220,-0.0666345,0.000191877,-0.154172,69034,2896,4797,217,-0.0515463,0.130917,-0.0121091,121554,2896,4803,217,-0.0499908,-0.14276,-0.0124697,0
36,conv_1e-5,2000,2926,2928,1e-05,7.99509e-06,1,5.00625,1334,184,128220,2896,4800,220,-0.0664494,0.000178124,-0.154173,69034,2896,4797,217,-0.051332,0.130917,-0.0120729,121554,2896,4803,217,-0.0497377,-0.142825,-0.0124157,0
37,conv_1e-5,2000,2928,2930,1e-05,7.82974e-06,1,5.00625,1333,184,128220,2896,4800,220,-0.0662319,0.000164005,-0.154149,69034,2896,4797,217,-0.0510985,0.130899,-0.0120353,121554,2896,4803,217,-0.0494706,-0.142864,-0.012366,0
38,conv_1e-5,2000,2930,2932,1e-05,8.18827e-06,1,5.00625,1331,184,128220,2896,4800,220,-0.0659972,0.00014922,-0.154116,69034,2896,4797,217,-0.0508553,0.130876,-0.0119985,121554,2896,4803,217,-0.0491978,-0.142886,-0.0123242,0
39,conv_1e-5,2000,2932,2939,0.0001,2.95778e-05,1,6.50481,3819,414,128220,2896,4800,220,-0.065217,0.00012277,-0.15407,69034,2896,4797,217,-0.050057,0.130835,-0.0119382,121554,2896,4803,217,-0.0483443,-0.142906,-0.0122741,0
40,conv_1e-5,2000,2939,2946,0.0001,2.90765e-05,1,6.04152,3582,414,128220,2896,4800,220,-0.0644632,8.7917e-05,-0.154018,69034,2896,4797,217,-0.0492957,0.130803,-0.0118583,121554,2896,4803,217,-0.0475299,-0.142952,-0.0122029,0
