step,phase,cycle,excav_xmin,excav_xmax,ratio_target,ratio_avg,converged,plastic_thick_max_m,plastic_nzone,contour_ngp,crown_gp_id,crown_x,crown_y,crown_z,crown_ux,crown_uy,crown_uz,wallL_gp_id,wallL_x,wallL_y,wallL_z,wallL_ux,wallL_uy,wallL_uz,wallR_gp_id,wallR_x,wallR_y,wallR_z,wallR_ux,wallR_uy,wallR_uz,n_lined
1,conv_1e-5,2000,2846,2853,0.0001,2.37128e-05,1,4.25735,2202,368,128220,2896,4800,220,-0.000337746,6.17605e-05,-0.00143091,69034,2896,4797,217,-0.000336927,9.31091e-05,-0.00146191,121554,2896,4803,217,-0.000345633,3.29001e-05,-0.00159431,0
2,conv_1e-5,2000,2853,2860,0.0001,1.55186e-05,1,5.00625,3130,414,128220,2896,4800,220,-0.00101532,6.46402e-05,-0.00150184,69034,2896,4797,217,-0.00103875,0.000107739,-0.00152076,121554,2896,4803,217,-0.00104498,2.14796e-05,-0.00165424,1
3,conv_1e-5,2000,2860,2862,1e-05,5.00956e-06,1,4.25735,1045,184,128220,2896,4800,220,-0.00124642,5.14451e-05,-0.00151504,69034,2896,4797,217,-0.00127032,9.83835e-05,-0.00152796,121554,2896,4803,217,-0.00127384,3.97613e-06,-0.00166138,2
4,conv_1e-5,2000,2862,2864,1e-05,4.72833e-06,1,5.00625,988,184,128220,2896,4800,220,-0.00138071,3.73255e-05,-0.00150838,69034,2896,4797,217,-0.00141382,8.36529e-05,-0.00152009,121554,2896,4803,217,-0.00141174,-8.90998e-06,-0.00165302,3
