model_unit,density_kg_m3,young_GPa,poisson,cohesion_kPa,friction_deg,tension_kPa
SS_NK,2585.0,0.48792277013394836,0.25,468.56448580888053,47.05684657253256,29.74794374671469
Interbedded_ST,2520.0,0.3424181681861623,0.3,253.6332314445812,46.050660260043934,26.29906907671718
SH_ST,2525.0,0.2611225904077852,0.38,158.79923514449214,43.75379044448566,26.587110418177364
SS_NC,2565.0,0.07161843244374878,0.22,140.8158056193216,22.615155026904745,4.008758899875634
SS_NC_damage,2560.0,0.05330126443293902,0.28,80.23452477323316,17.168448155670315,1.8256539075216212
Fault_up,2545.0,0.01983840615057299,0.34,18.417423427733095,5.596083651767842,0.10597630195690076
Fault_core,2515.0,0.012002305987413807,0.38,10.659391205409667,3.633305237419371,0.05580052634220177
Fault_down,2490.0,0.042360310459417336,0.32,85.93676973963247,18.733202343272396,2.376972759262801
