model_unit,sigma_ci_MPa,mi,GSI_from_RQD,GSI,D,Ei_intact_MPa,mb,s,a,sigma_cm_MPa,cover_H_m,gammaH_MPa,sigma3max_MPa,regression_slope_A,regression_intercept_B_MPa,regression_R2
SS_NK,36.74243531249999,17.0,,50.0,0.5,3320.5120987500004,1.5718620930696399,0.0012726338013398079,0.5057335599243188,6.07183324296289,86.77100000000002,2.2004127733500005,1.0991347938906373,6.4635218394032625,2.382505844714328,0.9791473338858356
Interbedded_ST,27.216618749999995,12.0,,48.0,0.5,2656.4096790000003,1.0087542700432506,0.0009747462928068856,0.5065815950295044,3.5883830284607066,43.70680645161292,1.0804847036516134,0.5457494304923262,6.141676927245989,1.2571283899944055,0.9829248172241497
SH_ST,21.773294999999997,8.0,11.5,46.0,0.5,2309.9214600000005,0.6114102959261446,0.0007465858083766792,0.5075505860701739,2.2249681906041827,24.661564516129033,0.6108731184556452,0.31026389470231036,5.484261006558489,0.74376794944155,0.9873387616462378
SS_NC,18.9333,7.0,33.4,24.0,0.5,2099.9286,0.18765737167645294,3.973280721455058e-05,0.5334373140322193,0.8922155843910353,102.28461651733608,2.573752005809947,1.1351643469768964,2.2495992998440686,0.42240979857286043,0.9894099531832177
SS_NC_damage,10.413315,6.0,,20.0,0.5,1784.9393100000002,0.13295236932270998,2.3309101142937016e-05,0.5437207507190644,0.38128226459435294,86.77100000000002,2.1791321856000003,0.922484791523717,1.837611774483465,0.2175295005862787,0.9930188316269004
Fault_up,1.0,5.0,10.0,12.0,0.5,800.0,0.07569537036717039,8.021915426770687e-06,0.574676055052647,0.021504313670021813,86.77100000000002,2.1663638329500006,0.7720348515713894,1.216103001855114,0.04062038626175005,0.9990585364122834
Fault_core,0.5,4.0,,10.0,0.5,500.0,0.05505514693220161,6.14421235332821e-06,0.5853574142052087,0.00825003830252863,86.77100000000002,2.1408271276500006,0.7208284498923349,1.135316382649088,0.022715424091413958,0.999600843136756
Fault_down,16.093304999999997,6.0,,18.0,0.5,1500.0,0.12087450316546604,1.7853101107183268e-05,0.5499869296851437,0.536149093916608,86.77100000000002,2.119546539900001,0.9173253011065174,1.9462103126911718,0.2397750031972057,0.9924174138217164
