model_unit,density_kg_m3,young_GPa,poisson,cohesion_kPa,friction_deg,tension_kPa
SS_NK,2585.0,0.48792277013394836,0.25,468.56448580888053,47.05684657253256,29.74794374671469
Interbedded_ST,2520.0,0.3424181681861623,0.3,253.6332314445812,46.050660260043934,26.29906907671718
SH_ST,2525.0,0.2611225904077852,0.38,158.79923514449214,43.75379044448566,26.587110418177364
SS_NC,2563.75,0.06703914044104635,0.23500000000000001,125.67048540779948,21.25347830909614,3.4629826517871307
Fault,2522.6281112737925,0.028469182946815184,0.33320644216691075,44.70664777851964,10.699184380706273,0.9957623731090482
