Model_unit,Thickness_m,Weight_from_thickness,Weight_factor,Weighted_thickness_m,Weight
Fault_up,79.4,0.5521557719054242,1.5,119.10000000000001,0.5812591508052709
Fault_core,10.799999999999997,0.07510431154381082,0.5,5.399999999999999,0.02635431918008784
Fault_down,53.6,0.37273991655076494,1.5,80.4,0.3923865300146413
