Mileage,X_local,Y_local,Z_crown
0.0,4240.776767802017,5162.376738340128,216.3349955548387
1.0,4239.802434854011,5162.151626575821,216.33845161290324
2.0,4238.828101973106,5161.9265145210875,216.34190322580645
3.0,4237.853769118778,5161.701402351324,216.34535483870968
4.0,4236.8794362644485,5161.47629018156,216.34880645161292
5.0,4235.90510341012,5161.251178011796,216.35225806451615
6.0,4234.930770555791,5161.026065842032,216.35570967741936
7.0,4233.956437701463,5160.800953672268,216.3591612903226
8.0,4232.982104847134,5160.575841502504,216.36261290322582
9.0,4232.007771992806,5160.35072933274,216.36606451612903
10.0,4231.033439138477,5160.125617162976,216.36951612903226
11.0,4230.059106284149,5159.900504993212,216.3729677419355
12.0,4229.0847734298195,5159.675392823448,216.37641935483873
13.0,4228.110440575491,5159.450280653684,216.37987096774194
14.0,4227.136107721162,5159.22516848392,216.38332258064517
15.0,4226.161774866834,5159.000056314157,216.3867741935484
16.0,4225.187442012505,5158.774944144392,216.3902258064516
17.0,4224.213109158177,5158.549831974628,216.39367741935484
18.0,4223.238776303848,5158.324719804864,216.39712903225808
19.0,4222.264443449769,5158.099607634019,216.40058064516128
20.0,4221.290110595697,5157.874495463147,216.40403225806452
21.0,4220.3157777416245,5157.649383292274,216.40748387096775
22.0,4219.341444887552,5157.424271121402,216.410935483871
23.0,4218.367112033479,5157.19915895053,216.4143870967742
24.0,4217.392779179407,5156.974046779656,216.41783870967743
25.0,4216.418446325334,5156.748934608784,216.42129032258066
26.0,4215.4441134712615,5156.523822437912,216.42474193548387
27.0,4214.4697806170425,5156.2987102676725,216.4281935483871
28.0,4213.495447762727,5156.073598097854,216.43164516129033
29.0,4212.521114908411,5155.848485928036,216.43509677419357
30.0,4211.546782054094,5155.623373758218,216.43854838709677
31.0,4210.572449199778,5155.3982615884,216.442
32.0,4209.598116345463,5155.1731494185815,216.44545161290324
33.0,4208.623783491146,5154.948037248763,216.44890322580645
34.0,4207.64945063683,5154.722925078945,216.45235483870968
35.0,4206.675117782511,5154.497812909139,216.45580645161291
36.0,4205.700784928183,5154.272700739375,216.45925806451615
37.0,4204.726452073854,5154.0475885696105,216.46270967741935
38.0,4203.752119219525,5153.822476399847,216.4661612903226
39.0,4202.777786365196,5153.597364230083,216.46961290322582
40.0,4201.803453510868,5153.372252060319,216.47306451612903
41.0,4200.829120656539,5153.147139890555,216.47651612903226
42.0,4199.854787802211,5152.9220277207905,216.4799677419355
43.0,4198.880454947882,5152.696915551027,216.48341935483873
44.0,4197.906122093554,5152.471803381263,216.48687096774194
45.0,4196.931789239225,5152.246691211499,216.49032258064517
46.0,4195.957456384896,5152.021579041735,216.4937741935484
47.0,4194.983123530567,5151.7964668719715,216.4972258064516
48.0,4194.008790676239,5151.571354702207,216.50067741935484
49.0,4193.03445782191,5151.346242532443,216.50412903225808
50.0,4192.060124967582,5151.121130362679,216.5075806451613
51.0,4191.085792113253,5150.896018192915,216.51103225806452
52.0,4190.111459258925,5150.6709060231515,216.51448387096775
53.0,4189.137126404596,5150.445793853387,216.51793548387099
54.0,4188.162793550267,5150.220681683623,216.5213870967742
55.0,4187.188460695938,5149.99556951386,216.52483870967743
56.0,4186.21412784161,5149.770457344095,216.52829032258066
57.0,4185.239794987281,5149.5453451743315,216.53174193548386
58.0,4184.265462132953,5149.320233004568,216.5351935483871
59.0,4183.291129278624,5149.095120834803,216.53864516129033
60.0,4182.316796424322,5148.870008664926,216.54209677419357
61.0,4181.342463570262,5148.644896494,216.54554838709677
62.0,4180.368130716201,5148.419784323073,216.549
63.0,4179.393797862142,5148.194672152146,216.55245161290324
64.0,4178.419465008082,5147.969559981219,216.55590322580645
65.0,4177.445132154022,5147.744447810293,216.55935483870968
66.0,4176.470799299962,5147.519335639367,216.56280645161291
67.0,4175.496466445902,5147.29422346844,216.56625806451615
68.0,4174.522133591842,5147.069111297513,216.56970967741935
69.0,4173.547800737588,5146.843999127425,216.5731612903226
70.0,4172.57346788326,5146.618886957662,216.57661290322582
71.0,4171.5991350289305,5146.393774787898,216.58006451612903
72.0,4170.624802174602,5146.168662618134,216.58351612903226
73.0,4169.650469320273,5145.94355044837,216.5869677419355
74.0,4168.676136465945,5145.718438278605,216.59041935483873
75.0,4167.701803611616,5145.493326108842,216.59387096774194
76.0,4166.727470757288,5145.268213939078,216.59732258064517
77.0,4165.753137902959,5145.043101769314,216.6007741935484
78.0,4164.778805048631,5144.81798959955,216.6042258064516
79.0,4163.8044721943015,5144.592877429786,216.60767741935484
80.0,4162.830139339973,5144.367765260022,216.61112903225808
81.0,4161.855806485644,5144.142653090258,216.6145806451613
82.0,4160.881473631316,5143.917540920494,216.61803225806452
83.0,4159.907140776987,5143.69242875073,216.62148387096775
84.0,4158.932807922659,5143.467316580966,216.62493548387098
85.0,4157.95847506833,5143.242204411202,216.6283870967742
86.0,4156.984142214002,5143.017092241438,216.63183870967742
87.0,4156.0098093596725,5142.7919800716745,216.63529032258066
