zid x y z sxx syy szz sxy sxz syz
6280 2559 4775 200.743 -5.63895e+06 -4.76861e+06 -3.78173e+06 -99855.4 25174.5 44096.4
6281 2561 4775 200.743 -5.63692e+06 -4.75667e+06 -3.7719e+06 -108728 25864.3 43911.5
6282 2563 4775 200.743 -5.63611e+06 -4.74565e+06 -3.76272e+06 -117820 26421.1 43717.8
6283 2565 4775 200.743 -5.6368e+06 -4.73559e+06 -3.75404e+06 -126336 26781.4 43573.4
6284 2567 4775 200.743 -5.63064e+06 -4.71449e+06 -3.73595e+06 -133901 27006.5 43542
6285 2569 4775 200.743 -5.62549e+06 -4.69123e+06 -3.71605e+06 -141775 27289.5 43603.2
6286 2571 4775 200.743 -5.62175e+06 -4.66879e+06 -3.69693e+06 -151041 27602 43691.6
6287 2573 4775 200.743 -5.61894e+06 -4.64697e+06 -3.67835e+06 -161432 27929 43768
6288 2575 4775 200.743 -5.615e+06 -4.62249e+06 -3.65734e+06 -172458 28404.9 43793.3
6289 2577 4775 200.743 -5.61084e+06 -4.59828e+06 -3.63578e+06 -183753 28882.8 43772.9
6290 2579 4775 200.743 -5.60185e+06 -4.5705e+06 -3.61036e+06 -195185 29272.7 43766.5
6291 2581 4775 200.743 -5.59359e+06 -4.54309e+06 -3.58507e+06 -206893 29749 43750.5
6292 2583 4775 200.743 -5.58859e+06 -4.51683e+06 -3.56122e+06 -218258 30210 43652.7
6293 2585 4775 200.743 -5.58305e+06 -4.49506e+06 -3.54122e+06 -229471 30756.1 43459.5
6294 2587 4775 200.743 -5.58238e+06 -4.48515e+06 -3.53069e+06 -240955 31695 43149.3
6295 2589 4775 200.743 -5.57975e+06 -4.47784e+06 -3.5213e+06 -252029 32802.7 42687.4
6296 2591 4775 200.743 -5.57479e+06 -4.47013e+06 -3.51085e+06 -262410 33262.3 42167.9
6297 2593 4775 200.743 -5.57318e+06 -4.47139e+06 -3.50759e+06 -272354 33214.3 41635.3
6298 2595 4775 200.743 -5.5727e+06 -4.47198e+06 -3.50438e+06 -282208 32858.1 40904.7
6299 2597 4775 200.743 -5.57298e+06 -4.47232e+06 -3.50113e+06 -291108 32568 39818
6300 2599 4775 200.743 -5.57045e+06 -4.47207e+06 -3.49639e+06 -299251 32406.1 38333.4
6301 2601 4775 200.743 -5.56741e+06 -4.47238e+06 -3.49093e+06 -307420 31421.4 36614.3
6302 2603 4775 200.743 -5.56556e+06 -4.47416e+06 -3.48634e+06 -315587 28775.4 35155.8
6303 2605 4775 200.743 -5.5578e+06 -4.4749e+06 -3.48108e+06 -324190 25778.2 34178.6
6304 2607 4775 200.743 -5.55521e+06 -4.47482e+06 -3.47612e+06 -333732 24279.2 33037.3
6305 2609 4775 200.743 -5.55138e+06 -4.47385e+06 -3.46975e+06 -342460 23118.5 31193.7
6306 2611 4775 200.743 -5.54557e+06 -4.47331e+06 -3.4626e+06 -350723 20958.7 28917.9
6307 2613 4775 200.743 -5.53604e+06 -4.47173e+06 -3.45413e+06 -359065 18550.7 26665.8
6308 2615 4775 200.743 -5.53639e+06 -4.47307e+06 -3.44865e+06 -365569 15745.1 24817.5
6309 2617 4775 200.743 -5.52941e+06 -4.47614e+06 -3.44521e+06 -371148 10119.8 23758.8
6310 2619 4775 200.743 -5.52299e+06 -4.48361e+06 -3.44736e+06 -379219 7350.8 22666.6
6311 2621 4775 200.743 -5.51787e+06 -4.48997e+06 -3.44803e+06 -385314 8127.76 20364.7
6312 2623 4775 200.743 -5.50805e+06 -4.49415e+06 -3.44417e+06 -388812 7523.19 17373.6
6313 2625 4775 200.743 -5.49919e+06 -4.5046e+06 -3.44365e+06 -391143 5945.34 14685.1
6314 2627 4775 200.743 -5.49539e+06 -4.5187e+06 -3.44675e+06 -393308 1183.83 12822.6
6315 2629 4775 200.743 -5.50881e+06 -4.52629e+06 -3.44995e+06 -399322 -4729.27 9993.99
6316 2631 4775 200.743 -5.49996e+06 -4.52575e+06 -3.44679e+06 -396841 -9302.76 5792.65
