zid x y z sxx syy szz sxy sxz syz
6424 2847 4775 200.743 -4.90638e+06 -5.5422e+06 -4.94965e+06 114716 72458.3 72009
6425 2849 4775 200.743 -4.87501e+06 -5.54133e+06 -4.96374e+06 131443 69446.9 73152.1
6426 2851 4775 200.743 -4.8436e+06 -5.53458e+06 -4.97742e+06 153299 66931.2 73988.4
6427 2853 4775 200.743 -4.80549e+06 -5.51494e+06 -4.98503e+06 182346 66482.6 74326.8
6428 2855 4775 200.743 -4.73122e+06 -5.45368e+06 -4.96125e+06 214414 66366.5 74980.4
6429 2857 4775 200.743 -4.92118e+06 -5.55352e+06 -5.09587e+06 195146 53053.6 75058.7
6430 2859 4775 200.743 -4.90166e+06 -5.5411e+06 -5.10951e+06 189261 47690.6 75157.3
6431 2861 4775 200.743 -4.88267e+06 -5.53497e+06 -5.12907e+06 184950 40661.5 77043.8
6432 2863 4775 200.743 -4.87271e+06 -5.53729e+06 -5.15434e+06 178364 31925.9 80187.1
6433 2865 4775 200.743 -4.83828e+06 -5.52541e+06 -5.16093e+06 173065 20594.9 85188.5
6434 2867 4775 200.743 -4.8167e+06 -5.51159e+06 -5.16386e+06 169304 7692.5 93139.9
6435 2869 4775 200.743 -4.86543e+06 -5.53287e+06 -5.20067e+06 171272 -457.991 104804
6436 2871 4775 200.743 -4.83477e+06 -5.51184e+06 -5.19492e+06 189645 852.6 116051
6437 2873 4775 200.743 -4.80428e+06 -5.50507e+06 -5.20139e+06 206914 -375.064 123176
6438 2875 4775 200.743 -4.77206e+06 -5.50444e+06 -5.21091e+06 223097 -5632.91 127320
6439 2877 4775 200.743 -4.73851e+06 -5.50231e+06 -5.21714e+06 238121 -14913.7 129250
6440 2879 4775 200.743 -4.70696e+06 -5.50394e+06 -5.22152e+06 251578 -28623.5 129235
6441 2881 4775 200.743 -4.67667e+06 -5.50904e+06 -5.21974e+06 263690 -48455 127043
6442 2883 4775 200.743 -4.6562e+06 -5.5246e+06 -5.20861e+06 275953 -74626.3 121537
6443 2885 4775 200.743 -4.99058e+06 -5.75848e+06 -5.40365e+06 258238 -80915.8 119933
6444 2887 4775 200.743 -4.98053e+06 -5.77728e+06 -5.39666e+06 265854 -70039.3 122964
6445 2889 4775 200.743 -4.96173e+06 -5.78752e+06 -5.39724e+06 273343 -65186.7 123656
6446 2891 4775 200.743 -4.94397e+06 -5.8002e+06 -5.40533e+06 281015 -65715.7 122520
6447 2893 4775 200.743 -4.92479e+06 -5.80962e+06 -5.41374e+06 288902 -69743.9 119644
6448 2895 4775 200.743 -4.91513e+06 -5.82216e+06 -5.42727e+06 298027 -76627.4 114839
6449 2897 4775 200.743 -4.89899e+06 -5.81254e+06 -5.42607e+06 309085 -86146.3 107734
6450 2899 4775 200.743 -4.89078e+06 -5.79631e+06 -5.42188e+06 321118 -97758.2 97723.3
6451 2901 4775 200.743 -4.89109e+06 -5.77044e+06 -5.41132e+06 332534 -106437 84017.1
6452 2903 4775 200.743 -4.90239e+06 -5.75437e+06 -5.40657e+06 320713 -107951 73297.8
6453 2905 4775 200.743 -4.90917e+06 -5.75048e+06 -5.40835e+06 319790 -110477 67972.5
