step_pair,phase,cycle,L_xmin,L_xmax,R_xmin,R_xmax,ratio_target,ratio_local,converged,box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z,ux,uy,uz
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,54999,2558.0,4790.0,211.33333333333334,0.0035527,0.00789965,-0.00241989
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,57509,2558.0,4790.0,212.91666666666666,0.00360361,0.00891628,-0.00301884
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,60019,2558.0,4790.0,214.5,0.00364013,0.00983547,-0.00382127
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,115239,2558.0,4790.0,215.0,0.00364844,0.0100736,-0.00411407
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,117749,2558.0,4790.0,215.5,0.00365391,0.0102777,-0.00442199
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,120259,2558.0,4790.0,216.0,0.00365611,0.0104427,-0.00474326
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,122769,2558.0,4790.0,216.5,0.00365461,0.0105652,-0.0050746
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,125279,2558.0,4790.0,217.0,0.00364987,0.0106426,-0.00541025
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,127789,2558.0,4790.0,217.5,0.00364169,0.0106736,-0.0057458
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,130299,2558.0,4790.0,218.0,0.00363012,0.0106593,-0.00607642
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,132809,2558.0,4790.0,218.5,0.00361581,0.0106021,-0.00639765
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,135319,2558.0,4790.0,219.0,0.00359868,0.0105061,-0.00670537
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,137829,2558.0,4790.0,219.5,0.00357926,0.0103766,-0.00699557
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,140339,2558.0,4790.0,220.0,0.00355815,0.0102194,-0.00726707
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,239484,2558.0,4790.0,222.16666666666666,0.00346962,0.00934229,-0.00813046
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,241994,2558.0,4790.0,224.33333333333334,0.00340349,0.00864751,-0.00864196
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,244504,2558.0,4790.0,226.5,0.00319903,0.00720862,-0.00905462
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,247014,2558.0,4790.0,228.66666666666666,0.00290264,0.00595123,-0.00907113
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,249524,2558.0,4790.0,230.83333333333334,0.00261167,0.00492675,-0.0090211
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,252034,2558.0,4790.0,233.0,0.00233689,0.00408808,-0.00894969
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmax,242.0,238.9612518628912,307254,2558.0,4790.0,238.9612518628912,0.00181374,0.00260591,-0.00889475
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmin,192.0,196.48648648648648,13584,2558.0,4791.0,196.48648648648648,0.00329349,0.00278786,-0.001225
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,15341,2558.0,4791.0,205.0,0.00334939,0.00454464,-0.00134446
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,60270,2558.0,4791.0,206.58333333333334,0.00339754,0.00520526,-0.00139426
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,62027,2558.0,4791.0,208.16666666666666,0.00345642,0.00600323,-0.00149838
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,63784,2558.0,4791.0,209.75,0.00352504,0.00696102,-0.00169175
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,65541,2558.0,4791.0,211.33333333333334,0.00360133,0.00807767,-0.00203316
