box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z
sub_2608,2608.0,xmin,2558.0,2558.0,7058,2558.0,4780.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,9568,2558.0,4780.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,47218,2558.0,4780.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,49728,2558.0,4780.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,52238,2558.0,4780.0,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,54748,2558.0,4780.0,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,57258,2558.0,4780.0,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,59768,2558.0,4780.0,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,114988,2558.0,4780.0,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,117498,2558.0,4780.0,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,120008,2558.0,4780.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,122518,2558.0,4780.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,125028,2558.0,4780.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,127538,2558.0,4780.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,130048,2558.0,4780.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,132558,2558.0,4780.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,135068,2558.0,4780.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,137578,2558.0,4780.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,140088,2558.0,4780.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,239233,2558.0,4780.0,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,241743,2558.0,4780.0,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,244253,2558.0,4780.0,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,246763,2558.0,4780.0,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,249273,2558.0,4780.0,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,251783,2558.0,4780.0,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,307003,2558.0,4780.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,7309,2558.0,4790.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,9819,2558.0,4790.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,47469,2558.0,4790.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,49979,2558.0,4790.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,52489,2558.0,4790.0,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,54999,2558.0,4790.0,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,57509,2558.0,4790.0,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,60019,2558.0,4790.0,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,115239,2558.0,4790.0,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,117749,2558.0,4790.0,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,120259,2558.0,4790.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,122769,2558.0,4790.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,125279,2558.0,4790.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,127789,2558.0,4790.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,130299,2558.0,4790.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,132809,2558.0,4790.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,135319,2558.0,4790.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,137829,2558.0,4790.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,140339,2558.0,4790.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,239484,2558.0,4790.0,222.16666666666666
