Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used
0.0,0.0,4240.776767802017,5162.376738340128,216.3349955548387,216.2854461669922,0.0,SH_ST,SH_ST
1.0,1.0000059721507526,4239.802434854011,5162.151626575821,216.33845161290324,216.4793395996093,0.140887986706133,SH_ST,SH_ST
2.0,2.000011928948515,4238.828101973106,5161.926514521088,216.34190322580645,216.67323303222656,0.3313298064201149,SH_ST,SH_ST
3.0,3.000017885746278,4237.853769118778,5161.701402351324,216.34535483870968,216.8671264648437,0.5217716261340684,SH_ST,SH_ST
4.0,4.000023842544722,4236.8794362644485,5161.47629018156,216.3488064516129,217.1220245361328,0.7732180845199252,SH_ST,SH_ST
5.0,5.000029799342484,4235.90510341012,5161.251178011796,216.3522580645161,217.5098114013672,1.1575533368510662,SH_ST,SH_ST
6.0,6.000035756140928,4234.930770555791,5161.026065842032,216.35570967741936,217.8975982666016,1.5418885891822072,SH_ST,SH_ST
7.0,7.000041712938486,4233.956437701463,5160.800953672268,216.3591612903226,218.28536987304688,1.9262085827242856,SH_ST,SH_ST
8.0,8.000047669737135,4232.982104847134,5160.575841502504,216.36261290322585,218.67315673828125,2.310543835055398,SH_ST,SH_ST
9.0,9.000053626534694,4232.007771992806,5160.35072933274,216.36606451612903,219.0609436035156,2.694879087386596,SH_ST,SH_ST
10.0,10.000059583333345,4231.033439138477,5160.125617162976,216.36951612903223,219.44873046875,3.0792143397177654,SH_ST,SH_ST
11.0,11.0000655401309,4230.059106284149,5159.900504993212,216.3729677419355,219.8365020751953,3.4635343332598154,SH_ST,SH_ST
12.0,12.00007149692846,4229.08477342982,5159.675392823448,216.3764193548388,220.2242889404297,3.847869585590928,SH_ST,SH_ST
13.0,13.000077453727108,4228.110440575491,5159.450280653684,216.379870967742,220.67637634277344,4.296505375031472,SH_ST,SH_ST
14.0,14.000083410525551,4227.136107721162,5159.22516848392,216.3833225806452,221.1834716796875,4.800149099042301,SH_ST,SH_ST
15.0,15.000089367323111,4226.161774866834,5159.000056314157,216.3867741935484,221.6905517578125,5.303777564264095,SH_ST,SH_ST
16.0,16.00009532412176,4225.187442012505,5158.774944144392,216.3902258064516,222.19764709472656,5.807421288274952,SH_ST,SH_ST
17.0,17.000101280919317,4224.213109158177,5158.549831974628,216.39367741935484,222.7047271728516,6.311049753496718,SH_ST,SH_ST
18.0,18.000107237717966,4223.238776303848,5158.324719804864,216.39712903225808,223.2118225097656,6.8146934775075465,SH_ST,SH_ST
19.0,19.00011319451616,4222.264443449769,5158.099607634019,216.40058064516128,223.7189178466797,7.318337201518403,SH_ST,SH_ST
20.0,20.000119151313392,4221.290110595697,5157.874495463147,216.4040322580645,224.2259979248047,7.821965666740198,SH_ST,SH_ST
21.0,21.00012510811152,4220.3157777416245,5157.649383292274,216.40748387096767,224.73309326171875,8.325609390751026,SH_ST,SH_ST
22.0,22.000131064909645,4219.341444887552,5157.424271121402,216.410935483871,225.2401885986328,8.829253114761826,SH_ST,SH_ST
23.0,23.00013702170777,4218.367112033479,5157.19915895053,216.4143870967742,225.7472686767578,9.33288157998362,SH_ST,SH_ST
24.0,24.0001429785061,4217.392779179407,5156.974046779656,216.41783870967743,226.25436401367188,9.83652530399445,SH_ST,SH_ST
25.0,25.000148935304228,4216.418446325334,5156.748934608784,216.42129032258063,226.5955352783203,10.17424495573968,SH_ST,SH_ST
26.0,26.000154892102355,4215.4441134712615,5156.523822437912,216.4247419354839,226.8602600097656,10.435518074281733,SH_ST,SH_ST
27.0,27.00016084890065,4214.4697806170425,5156.2987102676725,216.4281935483871,227.1249847412109,10.696791192823838,SH_ST,SH_ST
28.0,28.00016680569809,4213.495447762727,5156.073598097854,216.4316451612904,227.38970947265625,10.958064311365888,SH_ST,SH_ST
29.0,29.00017276249641,4212.521114908411,5155.848485928036,216.4350967741936,227.6544342041016,11.219337429907966,SH_ST,SH_ST
30.0,30.00017871929473,4211.546782054094,5155.623373758218,216.4385483870968,228.01168823242188,11.573139845325072,SH_ST,SH_ST
31.0,31.000184676093056,4210.572449199778,5155.3982615884,216.442,228.39572143554688,11.953721435546868,SH_ST,SH_ST
32.0,32.000190632890494,4209.598116345463,5155.1731494185815,216.44545161290324,228.77975463867188,12.334303025768634,SH_ST,SH_ST
33.0,33.00019658968881,4208.623783491146,5154.948037248763,216.44890322580645,229.1637725830078,12.714869357201366,SH_ST,SH_ST
34.0,34.00020254648713,4207.64945063683,5154.722925078945,216.45235483870968,229.5478057861328,13.095450947423132,SH_ST,SH_ST
35.0,35.00020850328545,4206.675117782511,5154.497812909139,216.4558064516129,229.9318389892578,13.476032537644926,SH_ST,SH_ST
36.0,36.00021446008301,4205.700784928183,5154.272700739375,216.4592580645161,230.3158721923828,13.856614127866692,SH_ST,SH_ST
37.0,37.00022041688165,4204.726452073854,5154.0475885696105,216.46270967741933,230.6999053955078,14.237195718088486,SH_ST,SH_ST
38.0,38.00022637367921,4203.752119219525,5153.822476399847,216.4661612903226,231.0839385986328,14.617777308310224,SH_ST,SH_ST
39.0,39.00023233047766,4202.777786365196,5153.597364230083,216.46961290322585,231.4679718017578,14.99835889853196,SH_ST,SH_ST
40.0,40.00023828727542,4201.803453510868,5153.372252060319,216.47306451612903,231.8520050048828,15.378940488753784,SH_ST,SH_ST
41.0,41.00024424407387,4200.829120656539,5153.147139890555,216.47651612903223,232.2360382080078,15.75952207897558,SH_ST,SH_ST
42.0,42.00025020087143,4199.854787802211,5152.922027720791,216.4799677419355,232.6200714111328,16.140103669197316,SH_ST,SH_ST
43.0,43.00025615767007,4198.880454947882,5152.696915551027,216.4834193548388,233.0041046142578,16.520685259419054,SH_ST,SH_ST
44.0,44.00026211446763,4197.906122093554,5152.471803381263,216.486870967742,233.3881378173828,16.901266849640848,SH_ST,SH_ST
45.0,45.00026807126628,4196.931789239225,5152.246691211499,216.4903225806452,233.76953125,17.2792086693548,SH_ST,SH_ST
46.0,46.00027402806384,4195.957456384896,5152.021579041735,216.4937741935484,234.10508728027344,17.611313086725033,SH_ST,SH_ST
47.0,47.00027998486208,4194.983123530567,5151.796466871972,216.4972258064516,234.44064331054688,17.943417504095265,SH_ST,SH_ST
48.0,48.000285941660046,4194.008790676239,5151.571354702207,216.50067741935484,234.7761993408203,18.27552192146547,SH_ST,SH_ST
49.0,49.00029189845849,4193.03445782191,5151.346242532443,216.50412903225808,235.1117553710937,18.607626338835672,SH_ST,SH_ST
50.0,50.00029785525626,4192.060124967582,5151.121130362679,216.5075806451613,235.44732666015625,18.93974601499493,SH_ST,SH_ST
51.0,51.0003038120547,4191.085792113253,5150.896018192915,216.5110322580645,235.7828826904297,19.2718504323652,SH_ST,SH_ST
52.0,52.000309768852055,4190.111459258925,5150.670906023152,216.51448387096767,236.11843872070312,19.6039548497354,SH_ST,SH_ST
53.0,53.00031572565091,4189.137126404596,5150.445793853387,216.51793548387096,236.45399475097656,19.936059267105605,SH_ST,SH_ST
54.0,54.00032168244847,4188.162793550267,5150.220681683623,216.5213870967742,236.78956604003903,20.26817894326487,SH_ST,SH_ST
55.0,55.00032763924691,4187.188460695938,5149.99556951386,216.52483870967745,237.1251220703125,20.600283360635046,SH_ST,SH_ST
56.0,56.00033359604468,4186.21412784161,5149.770457344095,216.52829032258063,237.460678100586,20.932387778005307,SH_ST,SH_ST
57.0,57.00033955284292,4185.239794987281,5149.545345174332,216.53174193548384,237.7962341308593,21.26449219537554,SH_ST,SH_ST
58.0,58.00034550964068,4184.265462132953,5149.320233004568,216.5351935483871,238.1317901611328,21.59659661274572,SH_ST,SH_ST
59.0,59.00035146643933,4183.291129278624,5149.095120834803,216.5386451612904,238.4673614501953,21.92871628890495,SH_ST,SH_ST
60.0,60.00035742323678,4182.316796424322,5148.870008664926,216.5420967741936,238.80291748046875,22.260820706275155,SH_ST,SH_ST
61.0,61.00036338003458,4181.342463570262,5148.644896494,216.5455483870968,239.1384735107422,22.592925123645387,SH_ST,SH_ST
62.0,62.000369336833465,4180.368130716201,5148.419784323073,216.549,239.4740295410156,22.92502954101562,SH_ST,SH_ST
63.0,63.00037529363147,4179.393797862142,5148.194672152146,216.55245161290324,239.8244171142578,23.27196550135457,SH_ST,SH_ST
64.0,64.00038125042947,4178.419465008082,5147.969559981219,216.55590322580645,240.2196350097656,23.66373178395918,SH_ST,SH_ST
65.0,65.00038720722726,4177.445132154022,5147.744447810293,216.55935483870968,240.6148376464844,24.05548280777469,SH_ST,SH_ST
66.0,66.00039316402527,4176.470799299962,5147.519335639367,216.5628064516129,241.0100555419922,24.4472490903793,SH_ST,SH_ST
67.0,67.00039912082327,4175.496466445902,5147.29422346844,216.5662580645161,241.4052734375,24.83901537298388,SH_ST,SH_ST
68.0,68.00040507762128,4174.522133591842,5147.069111297513,216.56970967741933,241.80047607421875,25.230766396799424,SH_ST,SH_ST
