formation_used,n_points,mileage_min,mileage_max,overburden_max_m,plastic_mean_m,plastic_p50_m,plastic_p95_m,plastic_max_m,plastic_ratio_max,stability_index_max
Fault,246,1429.0,1674.0,191.6664038085937,5.010017235536789,4.970430332648003,5.343182053668989,5.3726516211182345,1.7908838737060782,165.8025983984473
Interbedded_ST,924,141.0,1064.0,295.0600323368195,3.485027423474324,3.579825271844449,3.793957895789191,3.8127226072917737,1.2709075357639246,36.75675453983827
SH_ST,2261,0.0,3430.0,293.8671075321321,2.7813090635501787,3.050880053266213,3.995550137706541,4.247993489105192,1.4159978297017306,56.15163992113382
